DATE,TIME,BLD A (KW),BLD A (KVA),BLD A (KVAR),BLD A (Apparent PF),Plant Chillers (KW),Plant Chillers (Avg Current),Plant Chillers (kWh),Plant Chillers (Apparent PF),Plant Chillers (Displacement PF),BLD A FITNESS ZONE (KW),BLD A FITNESS (AVG CURRENT),BLD A FITNESS (kWh),BLD A FITNESS (Apparent PF),BLD A FITNESS (Displacement PF),BLD B (KW),BLD B (kVa),BLD B (kVAR),BLD B (PF),BLD D (KW),BLD D (kVA),BLD D (kVAR),BLD D (PF),BLD E (KW),BLD E (kVA),BLD E (KVAR),BLD E (PF),BLD G (KW),BLD G (kVA),BLD G (kVAR),BLD G (PF),BLD H (KW),BLD H Average Current,BLD H (kWh),BLD H (Apparent PF),BLD H (DISPLACEMENT PF),BLD J (KW),BLD J Average Current,BLD J (kWh),BLD J (Apparent PF),BLD J (Displacement PF),BLD K (KW),BLD K Average Current,BLD K (kWh),BLD K (Apparent PF),BLD K (Displacement PF),BLD M (KW),BLD M (Average Current),BLD M (kWh),BLD M (Apparent PF),BLD M (Displacement PF),BLD N (KW),BLD N Average Current,BLD N (kWh),BLD N (Apparent PF),BLD N (Displacement PF),BLD P (KW),BLD P Average Current,BLD P (kWh),BLD P (Apparent PF),BLD P (Displacement PF),RES PH 1 & 2 (KW),RES PH 1 & 2 Avg Current,RES PH 1 & 2 (kWh),RES PH 1 & 2 (Apparent PF),RES PH 1 & 2 (Displacement PF),RES PH 3 (KW),RES PH 3 Avg Current,RES PH 3 (kWh),RES PH 3 (Apparent PF),RES PH 3 (Displacement PF),BLD S (KW),BLD S Avg Current,BLD S (kWh),BLD S (Apparent PF),BLD S (Displacement PF),BLD T (KW),BLD T Avg Current,BLD T (kWh),BLD T (Apparent PF),BLD T (Displacement PF),BLD V (KW),BLD V Avg Current,BLD V (kWh),BLD V (Apparent PF),BLD V (Displacement PF),BLD Z (KW),BLD Z Avg Current,BLD Z (kWh),BLD Z (Apparent PF),BLD Z (Displacement PF),COGEN 1 (kW),COGEN 1 (kVAR),COGEN 1 (kVA),COGEN2 (kW),COGEN2 (KVAR),COGEN2 (KVA),BLD C (kW),BLD C Avg Current,BLD C (kWh),BLD C (Apparent PF),BLD C (Displacement PF) 
2019-04-01,0:00:00,373.51,394.34,45.78,0.994,3.78,139.62,806228.31,0.03,0.77,31.38,34.41,466653.28,0.86,0.86,166.01,183.14,78.28,0.91,51.3,64,26.11,91.2,133,139,43,-95.2,0,0,0,0,123.37,134.05,3026190.25,0.86,0.86,61.33,62.18,1338005.63,0.92,0.93,6.72,8.34,310487.13,0.76,0.82,2.87,32.04,66142.22,0.09,0.93,85.85,87.1,1528710.5,0.9,0.9,113.82,119.41,2362726.25,0.89,0.89,184.63,193.59,3575050,0.89,0.89,2.6,5.5,1015721.06,0.44,0.45,36.76,43.33,358630.84,0.79,0.79,184.45,211.43,3803085.5,0.81,0.82,22.99,26.97,539862.88,0.79,0.8,37.53,45.6,434625.69,0.77,0.77,0,0,0,1497,626,1626,141.78,373.12,3862459,0.99,1
2019-04-01,1:00:00,394.49,425.35,56.12,0.992,3.78,139.62,806228.31,0.03,0.77,31.38,34.41,466653.28,0.86,0.86,171.77,186.09,81.23,0.9,56.83,56.32,22.02,92,110,122,55,-89.18,0,0,0,0,126.84,136.3,3026313.75,0.87,0.88,63.08,64.52,1338066.13,0.91,0.92,0,0,310487.25,1,1,3.18,30.2,66145.29,0.1,0.96,76.99,79.81,1528790.63,0.88,0.88,110.94,116.61,2362835.25,0.89,0.89,175.2,185.95,3575232,0.88,0.88,2.73,5.63,1015723.88,0.45,0.46,43.69,45.87,358665.97,0.89,0.89,174.19,197.24,3803258.25,0.82,0.83,27.33,30.93,539888.81,0.82,0.85,35.22,43.63,434662.78,0.75,0.75,0,0,0,1497,646,1622,148.73,391.74,3862604,1,1
2019-04-01,2:00:00,393.16,415.02,45.78,0.992,3.78,139.62,806228.31,0.03,0.77,31.38,34.41,466653.28,0.86,0.86,164.53,186.09,79.75,0.9,53.81,67.58,29.18,90.4,90,95,34,-92.51,0,0,0,0,132.98,142.5,3026437.25,0.88,0.88,57.36,58.19,1338124.38,0.92,0.93,0,0,310487.56,1,1,3.05,28.79,66147.68,0.1,0.96,80.3,82.03,1528867,0.89,0.9,113.86,118.95,2362942.5,0.89,0.9,167.25,178.77,3575404.75,0.88,0.88,3.09,5.89,1015726.69,0.49,0.5,40.9,43.79,358709.28,0.87,0.87,165.49,181.3,3803432.25,0.85,0.91,27.75,31.04,539914.44,0.83,0.86,34.13,42.88,434700.16,0.74,0.75,0,0,0,1498,647,1595,140.44,370.58,3862746.75,0.99,1
2019-04-01,3:00:00,403.94,415.02,50.22,0.992,3.78,139.62,806228.31,0.03,0.77,31.38,34.41,466653.28,0.86,0.86,166.01,175.75,73.85,0.91,52.94,62.98,24.06,92.4,86,94,39,-90.95,0,0,0,0,117.1,128.19,3026558,0.86,0.86,56.83,59.31,1338180.75,0.9,0.91,0,0,310487.72,1,1,3.49,29.55,66151.14,0.11,0.96,77.28,79.78,1528943,0.89,0.89,99.59,107.08,2363061,0.87,0.88,162.88,175.64,3575571.25,0.87,0.87,2.73,5.5,1015729.44,0.47,0.47,41.06,43.54,358752.16,0.88,0.88,163.52,179.54,3803602.25,0.85,0.91,24.8,28.85,539942.19,0.8,0.83,39.37,46.75,434738.56,0.79,0.79,0,0,0,1503,640,1604,137.78,363.84,3862887.75,1,1
2019-04-01,4:00:00,382.67,384,47.26,0.994,3.78,139.62,806228.31,0.03,0.77,31.38,34.41,466653.28,0.86,0.86,162.61,178.71,76.8,0.9,54.07,55.3,23.55,90.6,90,95,32,-94.07,0,0,0,0,117.75,128.53,3026682.5,0.86,0.87,59.14,61.09,1338238,0.91,0.92,0,0,310488,1,1,3.93,29.62,66155.06,0.13,0.96,73.62,76.43,1529016.5,0.88,0.89,111.83,115.18,2363169.25,0.91,0.92,156.4,169.71,3575730.75,0.87,0.87,2.62,5.05,1015732.13,0.49,0.49,39.85,42.55,358792.31,0.88,0.88,156.62,171.37,3803769.5,0.86,0.91,25.6,29.04,539970.75,0.83,0.84,39.32,47.37,434778.81,0.78,0.78,0,0,0,1495,656,1622,134.36,356.18,3863025.25,1,1
2019-04-01,5:00:00,409.11,404.68,57.6,0.988,3.78,139.62,806228.31,0.03,0.77,31.38,34.41,466653.28,0.86,0.86,159.36,174.28,75.32,0.9,55.19,54.78,19.46,93.6,95,102,39,-92.32,0,0,0,0,121.9,132.05,3026807,0.87,0.88,56.97,59.32,1338297.88,0.9,0.91,0,0,310488.28,1,1,4.22,29.14,66158.34,0.14,0.97,69.53,71.66,1529087.13,0.89,0.9,110.49,116.45,2363279,0.89,0.9,160.02,173.38,3575886.75,0.87,0.87,2.69,5.32,1015734.81,0.48,0.48,41.57,44.23,358835.19,0.88,0.89,181,207.17,3803937.25,0.82,0.83,23.41,27.52,539997.5,0.8,0.81,40.94,48.67,434818.84,0.79,0.79,0,0,0,1497,681,1665,141.94,377.2,3863166,1,1
2019-04-01,6:00:00,400.54,389.91,50.22,0.992,3.78,139.62,806228.31,0.03,0.77,31.38,34.41,466653.28,0.86,0.86,163.94,184.62,78.28,0.91,53.96,50.69,18.43,93.2,82,86,29,-94.64,0,0,0,0,139.28,147.44,3026938,0.89,0.9,57.73,59.31,1338356.38,0.92,0.93,0,0,310488.94,1,1,4.54,30.84,66161.48,0.14,0.93,103.82,106.87,1529159.63,0.9,0.9,104.38,109.56,2363385.75,0.9,0.9,151.72,166.03,3576045,0.87,0.87,2.56,5.1,1015737.5,0.47,0.48,41.27,43.47,358877.75,0.89,0.9,179.87,206.76,3804108.25,0.82,0.83,29.66,32.76,540024.69,0.85,0.88,36.78,45.76,434859.44,0.76,0.76,0,0,0,1502,691,1626,157.53,420.1,3863320.75,0.99,1
2019-04-01,7:00:00,468.18,463.75,70.89,0.988,3.78,139.62,806228.31,0.03,0.77,31.38,34.41,466653.28,0.86,0.86,200.86,214.15,81.23,0.93,68.45,70.14,19.97,95.8,95,102,39,-92.47,0,0,0,0,127.48,136.26,3027070.75,0.88,0.88,71.43,70.85,1338423,0.94,0.96,2.07,2.52,310489.66,0.78,0.81,3.06,29.29,66163.9,0.1,0.99,102.66,103.26,1529261.13,0.91,0.92,109.38,113.87,2363500.25,0.9,0.9,161.47,174.93,3576202.75,0.87,0.87,2.81,6.4,1015740.19,0.41,0.42,43.89,48.69,358924.56,0.84,0.84,217.41,243.29,3804309.75,0.84,0.85,54.27,55.85,540069.88,0.91,0.93,40.64,48.8,434899.53,0.78,0.78,0,0,0,1494,643,1592,174.01,461.63,3863494,0.99,1
2019-04-01,8:00:00,487.98,482.95,70.89,0.988,3.78,139.62,806228.31,0.03,0.77,31.38,34.41,466653.28,0.86,0.86,205.14,221.54,90.09,0.91,97.59,105.47,29.7,96,143,149,44,-95.66,0,0,0,0,220.81,226.44,3027283,0.92,0.92,87.22,85.28,1338502.13,0.95,0.97,5.68,6.26,310495.03,0.85,0.89,1.87,18.77,66166.29,0.1,0.97,100.94,101.22,1529361.25,0.91,0.92,186.9,198.03,2363629.75,0.88,0.89,167.44,179.57,3576362.75,0.87,0.88,2.93,5.93,1015743.13,0.46,0.47,51.27,56.16,358971.84,0.85,0.85,257.73,276.6,3804539.25,0.87,0.88,58.92,58.86,540117.06,0.93,0.94,34.12,42.64,434938.06,0.75,0.75,0,0,0,1505,639,1645,200.17,528.63,3863682,0.99,1
2019-04-01,9:00:00,548.23,537.6,82.71,0.988,3.78,139.62,806228.31,0.03,0.77,31.38,34.41,466653.28,0.86,0.86,227.3,242.22,88.62,0.93,99.07,97.28,25.6,96.4,184,188,45,-97.07,0,0,0,0,213.04,219.58,3027508.5,0.92,0.92,94.6,92.74,1338598.25,0.95,0.97,5.03,5.45,310502.09,0.87,0.9,2.47,20.14,66168.43,0.12,0.95,103.42,103.33,1529467,0.92,0.92,155.51,159.04,2363790.75,0.91,0.92,160.93,173.95,3576524.5,0.87,0.87,3.07,6.9,1015746.13,0.42,0.42,80.27,86.15,359046.78,0.87,0.87,300.95,313.88,3804812,0.9,0.91,57.24,57.67,540166.69,0.93,0.93,36.01,43.61,434976.75,0.77,0.77,0,0,0,1808,756,1955,233.81,618.75,3863906.25,0.99,1
