DATE,TIME,BLD A (KW),BLD A (KVA),BLD A (KVAR),BLD A (Apparent PF),Plant Chillers (KW),Plant Chillers (Avg Current),Plant Chillers (kWh),Plant Chillers (Apparent PF),Plant Chillers (Displacement PF),BLD A FITNESS ZONE (KW),BLD A FITNESS (AVG CURRENT),BLD A FITNESS (kWh),BLD A FITNESS (Apparent PF),BLD A FITNESS (Displacement PF),BLD B (KW),BLD B (kVa),BLD B (kVAR),BLD B (PF),BLD D (KW),BLD D (kVA),BLD D (kVAR),BLD D (PF),BLD E (KW),BLD E (kVA),BLD E (KVAR),BLD E (PF),BLD G (KW),BLD G (kVA),BLD G (kVAR),BLD G (PF),BLD H (KW),BLD H Average Current,BLD H (kWh),BLD H (Apparent PF),BLD H (DISPLACEMENT PF),BLD J (KW),BLD J Average Current,BLD J (kWh),BLD J (Apparent PF),BLD J (Displacement PF),BLD K (KW),BLD K Average Current,BLD K (kWh),BLD K (Apparent PF),BLD K (Displacement PF),BLD M (KW),BLD M (Average Current),BLD M (kWh),BLD M (Apparent PF),BLD M (Displacement PF),BLD N (KW),BLD N Average Current,BLD N (kWh),BLD N (Apparent PF),BLD N (Displacement PF),BLD P (KW),BLD P Average Current,BLD P (kWh),BLD P (Apparent PF),BLD P (Displacement PF),RES PH 1 & 2 (KW),RES PH 1 & 2 Avg Current,RES PH 1 & 2 (kWh),RES PH 1 & 2 (Apparent PF),RES PH 1 & 2 (Displacement PF),RES PH 3 (KW),RES PH 3 Avg Current,RES PH 3 (kWh),RES PH 3 (Apparent PF),RES PH 3 (Displacement PF),BLD S (KW),BLD S Avg Current,BLD S (kWh),BLD S (Apparent PF),BLD S (Displacement PF),BLD T (KW),BLD T Avg Current,BLD T (kWh),BLD T (Apparent PF),BLD T (Displacement PF),BLD V (KW),BLD V Avg Current,BLD V (kWh),BLD V (Apparent PF),BLD V (Displacement PF),BLD Z (KW),BLD Z Avg Current,BLD Z (kWh),BLD Z (Apparent PF),BLD Z (Displacement PF),COGEN 1 (kW),COGEN 1 (kVAR),COGEN 1 (kVA),COGEN2 (kW),COGEN2 (KVAR),COGEN2 (KVA),BLD C (kW),BLD C Avg Current,BLD C (kWh),BLD C (Apparent PF),BLD C (Displacement PF) ,Column1,Column2,Column3,Column4,Column5
2019-01-12,0:00:00,429.64,425.35,66.46,0.988,126.59,119.28,1495556.38,0.98,0.99,20.49,27.18,610893.88,0.68,0.71,170.88,192,88.62,0.89,52.99,54.27,22.53,0.906,106,117,53,-89.57,20.8,20.8,5.44,0.97,130.87,142.56,3889057.5,0.86,0.86,62.84,64.72,1640524.5,0.9,0.92,0,0,477821.84,1,1,72.78,99.03,600342,0.69,0.74,73.83,80.39,1994648.38,0.84,0.84,96.78,100.58,3028250.5,0.89,0.9,202.73,206.77,4773288,0.92,0.92,160.6,167.17,2004809.88,0.9,0.9,30.28,37.39,626418.44,0.75,0.76,140.89,342.27,5100407,0.38,0.41,31.03,36.96,727169.56,0.78,0.81,38.23,46.83,544799.13,0.76,0.76,0,No Data,0,0,No Data,1725,169.4,446.43,4938615.5,0.99,1,No Data,No Data,No Data,No Data,No Data
2019-01-12,1:00:00,429.19,429.78,63.51,0.988,127.87,120.03,1495687,0.98,0.99,21.88,28.24,610914.56,0.7,0.73,169.4,190.52,90.09,0.88,53.09,59.39,27.14,0.896,109,121,54,-89.71,19.28,24,5.44,0.97,119.36,130.55,3889177,0.85,0.85,70.43,74.02,1640585.5,0.88,0.89,0,0,477821.84,1,1,84.58,120.75,600421.44,0.65,0.71,70.36,77.59,1994720.75,0.82,0.82,92.82,96.78,3028344.25,0.89,0.89,189,195.29,4773482.5,0.9,0.9,165.9,171.04,2004970,0.9,0.9,27.87,33.29,626448.5,0.77,0.78,148.56,353.66,5100549.5,0.39,0.41,31.22,37.08,727201.81,0.78,0.8,39.83,47.58,544834.88,0.78,0.78,0,No Data,0,0,No Data,1766,205.28,537.68,4938788.5,0.99,1,No Data,No Data,No Data,No Data,No Data
2019-01-12,2:00:00,431.85,434.22,66.46,0.988,127.36,120.01,1495818,0.98,0.99,20.02,26.8,610935.31,0.67,0.7,166.45,187.57,88.62,0.89,49.51,47.1,18.94,0.91,107,120,56,-88.19,19.98,22.08,5.76,0.97,121.58,133.53,3889296.25,0.85,0.85,59.85,62.85,1640645.63,0.88,0.9,0,0,477821.84,1,1,80.19,111.84,600500.75,0.67,0.72,73.82,80.15,1994793,0.84,0.84,100.15,103.59,3028440.75,0.9,0.9,193.97,200.09,4773673,0.91,0.91,162.38,168.43,2005129.63,0.9,0.9,29.98,36.73,626478.81,0.76,0.76,137.81,343.75,5100691,0.37,0.39,32.65,38.32,727234.19,0.79,0.82,34.19,41.3,544871.13,0.77,0.77,0,No Data,0,0,No Data,1753,159.75,421.48,4938951,0.99,1,No Data,No Data,No Data,No Data,No Data
2019-01-12,3:00:00,423.88,493.29,66.46,0.99,137.92,129.99,1495948.88,0.98,0.99,21.31,27.82,610955.88,0.69,0.72,167.34,192,93.05,0.88,47.05,46.08,17.41,0.92,104,116,53,-88.77,19.57,20.64,5.76,0.96,116,126.99,3889413.75,0.85,0.85,57.95,60.75,1640705.13,0.88,0.9,0,0,477821.84,1,1,83.94,125.66,600578.56,0.62,0.67,70.83,77.63,1994864.5,0.83,0.83,95.06,99.65,3028533.75,0.88,0.89,182.16,188.65,4773855,0.9,0.9,161.01,168.68,2005286.25,0.89,0.89,31.55,37.63,626510.13,0.78,0.78,140.25,343.75,5100829.5,0.38,0.4,33.59,39.29,727266.56,0.79,0.82,38.45,47.73,544909.81,0.75,0.75,0,No Data,0,0,No Data,1757,150.52,397.24,4939116,0.99,1,No Data,No Data,No Data,No Data,No Data
2019-01-12,4:00:00,431.85,428.31,63.51,0.986,133.47,124.81,1496080.63,0.98,0.99,20.92,27.7,610976.63,0.67,0.7,167.78,196.43,96,0.87,42.44,51.71,21.5,0.918,101,113,53,-88.06,17.1,17.6,7.04,0.93,122.32,134.07,3889533.25,0.85,0.85,61.86,63.89,1640765.13,0.89,0.91,0,0,477821.84,1,1,78.55,112.34,600660.13,0.65,0.69,78.83,84.04,1994937.88,0.85,0.85,101.46,104.54,3028628,0.89,0.9,178.23,186.24,4774035.5,0.89,0.89,146.99,155.31,2005440.75,0.88,0.88,29.69,35.13,626539.63,0.78,0.78,137.03,342.47,5100969.5,0.37,0.39,28.78,34.99,727299.13,0.76,0.78,37.53,46.6,544949.31,0.74,0.74,0,No Data,0,0,No Data,1764,162.9,426.37,4939278.5,0.99,1,No Data,No Data,No Data,No Data,No Data
2019-01-12,5:00:00,432,457.85,66.46,0.99,130.23,122.11,1496211.75,0.98,0.99,20.72,27.62,610997.56,0.67,0.7,160.98,181.66,90.09,0.87,42.65,47.1,22.02,0.892,106,118,53,-89.55,19.87,19.04,5.76,0.96,113.64,125.23,3889653.25,0.84,0.84,67.44,71.5,1640825.75,0.87,0.88,0,0,477821.84,1,1,77.53,110.28,600737.69,0.65,0.7,88,91.1,1995022.75,0.87,0.88,88.79,94.55,3028733,0.86,0.87,166.55,177.31,4774208,0.87,0.87,147.17,155.68,2005592.25,0.88,0.88,31.91,38.16,626570,0.77,0.77,141.32,348.44,5101108,0.37,0.39,30.46,36.38,727331.25,0.77,0.79,39.63,46.81,544989.19,0.78,0.78,0,No Data,0,0,No Data,1758,198.71,518.93,4939443,0.99,1,No Data,No Data,No Data,No Data,No Data
2019-01-12,6:00:00,431.85,431.26,64.98,0.988,127.31,119.68,1496342.63,0.98,0.99,20.46,27.52,611018.31,0.67,0.7,167.93,184.62,90.09,0.87,47.62,56.32,20.99,0.916,110,121,53,-89.7,23.02,20.8,5.76,0.96,122.64,132.89,3889773,0.86,0.86,59.91,62.51,1640886,0.89,0.91,0,0,477821.84,1,1,82.59,116.23,600818.06,0.66,0.72,85.04,89.22,1995109.13,0.87,0.87,88.94,95.55,3028829,0.86,0.87,169.61,179.41,4774376,0.88,0.88,156.88,165.01,2005740.88,0.89,0.89,30.73,37.39,626600.44,0.76,0.76,138.15,343.31,5101246.5,0.37,0.39,27.32,33.7,727363.75,0.75,0.77,43.94,51.37,545029.31,0.79,0.79,0,No Data,0,0,No Data,1758,158.21,416.71,4939605,0.99,1,No Data,No Data,No Data,No Data,No Data
2019-01-12,7:00:00,447.51,456.37,73.85,0.988,128.88,121.52,1496473.13,0.98,0.99,19.96,26.94,611039,0.67,0.7,173.83,194.95,90.09,0.89,54.68,70.66,28.67,0.93,164,177,71,-91.48,20.72,20.48,5.76,0.97,116.55,126.56,3889896.25,0.86,0.86,59.43,61.95,1640944.75,0.89,0.91,0,0,477821.84,1,1,73.53,102.26,600894.31,0.67,0.72,98.59,102.07,1995203.25,0.88,0.88,96.9,102.78,3028926.5,0.87,0.88,153.55,165.5,4774540,0.87,0.87,147.12,154.79,2005886.88,0.89,0.89,31.69,38.45,626633.38,0.76,0.77,147.08,353.68,5101396,0.39,0.41,33.65,37.64,727398.5,0.83,0.83,36.45,43.9,545069.44,0.77,0.77,0,No Data,0,0,No Data,1765,155.82,410.68,4939766.5,0.99,1,No Data,No Data,No Data,No Data,No Data
2019-01-12,8:00:00,445.29,456.37,75.32,0.986,128.08,121.18,1496604.25,0.98,0.99,18.89,25.96,611059.63,0.68,0.69,172.8,194.95,91.57,0.88,54.02,60.42,24.06,0.922,234,243,69,-95.8,21.34,22.08,6.88,0.96,133.79,144.2,3890022.5,0.87,0.87,62.03,63.92,1641004.88,0.9,0.92,0,0,477821.84,1,1,77.17,104.64,600977.63,0.69,0.73,89.97,94,1995295.38,0.87,0.88,103.3,109.67,3029030,0.88,0.88,161.62,173.51,4774703,0.87,0.88,189.45,194.37,2006033.88,0.91,0.92,27.67,36.54,626661.63,0.71,0.71,156.04,360.78,5101546.5,0.4,0.43,31.06,36.71,727429.31,0.79,0.82,39.01,47.97,545108.69,0.76,0.76,0,No Data,0,0,No Data,1727,165.54,438.79,4939929.5,0.99,1,No Data,No Data,No Data,No Data,No Data
2019-01-12,9:00:00,465.38,460.8,78.28,0.986,132.89,124.9,1496736,0.99,0.99,20.26,27.41,611080,0.69,0.7,172.8,197.91,93.05,0.89,53.86,54.27,22.53,0.914,198,209,71,-94.04,18.86,20.16,5.76,0.95,130.9,139.63,3890153.25,0.88,0.88,60.07,62.76,1641066.25,0.89,0.91,0,0,477821.84,1,1,81.34,110.82,601056.06,0.69,0.73,90.63,93.89,1995385.75,0.88,0.88,106.58,113,3029134.5,0.88,0.88,161.38,172.6,4774864,0.87,0.87,181.49,187.5,2006210.25,0.9,0.91,31.67,39.66,626691.56,0.74,0.74,172.11,375.85,5101715.5,0.42,0.46,26.92,32.98,727462.06,0.76,0.77,45.32,52.9,545147.19,0.8,0.8,0,No Data,0,0,No Data,1946,165.17,436.14,4940093.5,0.99,1,No Data,No Data,No Data,No Data,No Data
2019-01-12,10:00:00,473.8,478.52,76.8,0.986,126.73,119.48,1496867.13,0.99,0.99,25.93,31.52,611100.5,0.77,0.78,175.61,202.34,94.52,0.88,52.43,53.25,20.48,0.924,212,224,76,-94.06,17.31,20.48,6.88,0.96,140.83,148.87,3890289,0.89,0.89,64.77,67.38,1641127.5,0.9,0.91,0,0,477821.84,1,1,85.58,123.54,601138.94,0.65,0.69,87.24,91.23,1995477,0.87,0.88,119.62,123.74,3029254,0.9,0.91,157.65,170.08,4775027,0.87,0.87,177.06,182.05,2006386.5,0.91,0.91,27.66,36.09,626721,0.71,0.72,173.46,375.79,5101889,0.43,0.47,31.67,37.2,727495.25,0.79,0.82,40.6,49.13,545186.31,0.77,0.77,0,No Data,0,0,No Data,1961,166.99,442.86,4940262,0.99,1,No Data,No Data,No Data,No Data,No Data
2019-01-12,11:00:00,468.33,466.71,81.23,0.986,125.87,119.24,1496997.38,0.99,0.99,21.69,27.33,611128.88,0.75,0.75,173.39,194.95,90.09,0.89,56.88,59.39,20.99,0.926,196,211,81,-92,20.16,21.44,5.92,0.96,129.86,138.96,3890429.25,0.88,0.89,75.75,76.39,1641194,0.93,0.94,0,0,477821.84,1,1,79.23,134.02,601219.06,0.56,0.6,92.16,95.57,1995570.63,0.89,0.89,120.27,126.71,3029369.25,0.89,0.9,179.21,188.61,4775197.5,0.9,0.9,204.01,211.35,2006569.5,0.91,0.91,39.84,43.91,626754.25,0.85,0.85,179.38,379.84,5102065,0.44,0.49,31.72,36.17,727527.88,0.82,0.82,40.98,48.94,545224.5,0.79,0.79,0,No Data,0,0,No Data,1992,164.97,439.5,4940430,0.99,1,No Data,No Data,No Data,No Data,No Data
2019-01-12,12:00:00,473.35,469.66,81.23,0.986,126.09,119.12,1497127.13,0.99,0.99,24.9,29.76,611159.38,0.79,0.79,179.89,197.91,90.09,0.89,60.01,67.58,25.09,0.928,195,207,73,-93.63,19.52,19.2,5.92,0.96,136.94,144.87,3890563.25,0.89,0.89,69.81,70.27,1641263.63,0.93,0.94,0,0,477821.84,1,1,82.58,114.91,601299.5,0.68,0.71,91.44,94.45,1995664.75,0.89,0.89,115.03,121.4,3029488.75,0.89,0.89,164.54,176.14,4775373.5,0.88,0.88,218.89,223.3,2006759,0.92,0.93,40.48,44.33,626794.75,0.85,0.86,179.86,382.2,5102243.5,0.44,0.48,36.35,41.17,727561,0.83,0.86,42.21,50.41,545263.06,0.79,0.79,0,No Data,0,0,No Data,1976,169.35,450.21,4940599.5,0.99,1,No Data,No Data,No Data,No Data,No Data
