DATE,TIME,BLD A (KW),BLD A (KVA),BLD A (KVAR),BLD A (PF),Plant Chillers (KW),Plant Chillers (Avg Current),Plant Chillers (kWh),Plant Chillers (PF),BLD A FITNESS ZONE (KW),BLD A FITNESS (AVG CURRENT),BLD A FITNESS (kWh),BLD A FITNESS (PF),BLD B (KW),BLD B (kVa),BLD B (kVAR),BLD B (PF),BLD D (KW),BLD D (kVA),BLD D (kVAR),BLD D (PF),BLD E (KW),BLD E (kVA),BLD E (KVAR),BLD E (PF),BLD G (KW),BLD G (kVA),BLD G (kVAR),BLD G (PF),BLD H (KW),BLD H Average Current,BLD H (kWh),BLD H (PF),BLD J (KW),BLD J Average Current,BLD J (kWh),BLD J (PF),BLD K (KW),BLD K Average Current,BLD K (kWh),BLD K (PF),BLD M (KW),BLD M (Average Current),BLD M (kWh),BLD M (PF),BLD N (KW),BLD N Average Current,BLD N (kWh),BLD N (PF),BLD P (KW),BLD P Average Current,BLD P (kWh),BLD P (PF),RES PH 1 & 2 (KW),RES PH 1 & 2 Avg Current,RES PH 1 & 2 (kWh),RES PH 1 & 2 (PF),RES PH 3 (KW),RES PH 3 Avg Current,RES PH 3 (kWh),RES PH 3 (PF),BLD S (KW),BLD S Avg Current,BLD S (kWh),BLD S (PF),BLD T (KW),BLD T Avg Current,BLD T (kWh),BLD T (PF),BLD V (KW),BLD V Avg Current,BLD V (kWh),BLD V (PF),BLD Z (KW),BLD Z Avg Current,BLD Z (kWh),BLD Z (PF),COGEN 1 (kW),COGEN 1 (kVAR),COGEN 1 (kVA),COGEN2 (kW),COGEN2 (KVAR),COGEN2 (KVA),BLD C (KW)
2019-02-01,0:00:00,456.37,485.91,63.51,99.2,3.78,139.62,806228.31,0.03,9.57,9.62,440274.19,0.92,166.89,197.91,87.14,89.8,64,72.7,31.23,90.2,101,107,39,-93.2,19.49,19.84,5.44,96,134.01,143.59,2783567.75,0.87,77.47,76.27,1222956,0.94,4.16,4.74,305519.53,0.82,1.73,22.93,63016.26,0.07,82.93,85.61,1397870.25,0.88,116.64,121.7,2190859,0.89,205.87,210.74,3320253.25,0.91,2.82,6.48,1011611.5,0.4,3.28,6.71,329692.56,0.45,152.36,358.48,3500054.5,0.39,25.77,30.11,479199.53,0.79,43.99,50.69,371251.97,0.8,0,,,0,,,0
2019-02-01,1:00:00,465.53,490.34,Data Loss,Data Loss,3.78,139.62,806228.31,0.03,10.97,10.93,440286.19,0.93,158.62,169.85,78.28,88.8,61.75,72.19,28.67,91.8,90,96,34,-93.21,21.63,25.28,5.44,97.6,142.62,146.81,2783710.25,0.9,78.02,77.17,1223036.5,0.93,0,0,305520.72,1,0.94,18.67,63018.36,0.05,74.66,77.42,1397946.5,0.87,111.1,112.66,2190966.75,0.91,197.44,203.51,3320454.75,0.9,2.6,5.71,1011614.19,0.42,3.31,6.45,329695.84,0.47,153.54,359.5,3500208.25,0.39,39.02,40.52,479231.38,0.89,43.22,50.4,371292.91,0.79,0,,,0,,,0
2019-02-01,2:00:00,464.49,460.8,Data Loss,Data Loss,3.78,139.62,806228.31,0.03,13.13,12.83,440297.97,0.96,159.06,184.62,82.71,89.6,56.99,61.95,24.58,92.6,83,88,31,-93.47,23.38,24.32,5.44,97.2,135.28,145.18,2783855,0.87,68.72,69.16,1223106.25,0.93,6.3,7.94,305520.91,0.75,2.83,22.57,63020.73,0.12,77.17,79.36,1398022.38,0.89,114.34,115.45,2191074,0.92,176.02,185.62,3320643.25,0.89,2.64,5.7,1011616.81,0.43,3.18,6.47,329699.09,0.46,149.32,355.07,3500360.5,0.39,29.27,34.22,479264.72,0.8,42.97,49.69,371334.41,0.81,0,,,0,,,0
2019-02-01,3:00:00,453.86,475.57,Data Loss,Data Loss,3.78,139.62,806228.31,0.03,12.54,12.17,440310.28,0.95,152.42,180.18,82.71,88.8,62.36,66.05,26.62,91.2,101,110,46,-90.86,21.58,20,5.6,96,159.05,162.3,2784000.5,0.91,69.92,69.4,1223175.38,0.93,0,0,305521.09,1,1.73,20.14,63023.05,0.08,66.36,69.51,1398094.13,0.86,106.8,108.61,2191182.25,0.91,180.46,188.22,3320824.25,0.89,2.61,5.4,1011619.38,0.45,3.43,6.52,329702.34,0.48,157,362.67,3500512.75,0.4,45.13,44.99,479298.63,0.93,43.62,51.46,371377.03,0.78,0,,,0,,,0
2019-02-01,4:00:00,467.89,465.23,Data Loss,Data Loss,3.78,139.62,806228.31,0.03,11.71,11.67,440322.5,0.94,156.85,175.75,85.66,87.6,59.65,65.54,23.55,93.6,87,92,30,-94.43,21.74,23.52,5.76,97,152.52,159.47,2784144.75,0.9,70.97,70.8,1223246.13,0.93,0,0,305521.38,1,2.62,23.9,63025.61,0.11,66.59,69.91,1398160.25,0.87,99.31,103.36,2191284.5,0.89,168.14,178.6,3320997.75,0.88,2.56,5.38,1011621.94,0.44,3.31,6.4,329705.63,0.48,150.11,355.43,3500663.5,0.39,53.51,53.75,479334.72,0.93,43.57,51.06,371419.34,0.8,0,,,0,,,0
2019-02-01,5:00:00,475.86,484.43,Data Loss,Data Loss,3.78,139.62,806228.31,0.03,13.5,13.13,440335.94,0.97,157.59,172.8,76.8,89.8,59.39,58.37,24.06,91.2,88,92,31,-94.32,22.1,21.12,5.76,96.6,135.66,145.14,2784290,0.88,91.06,92.85,1223316.25,0.92,0,0,305521.63,1,2.46,17.25,63027.73,0.14,65.11,67.85,1398225,0.88,107.21,109.38,2191390.25,0.92,164.98,177.15,3321169.25,0.88,2.38,5.02,1011624.5,0.45,3.08,6.05,329708.97,0.48,156.38,359.47,3500817,0.41,45.27,45.86,479370.16,0.92,44.32,51.66,371462.94,0.8,0,,,0,,,0
2019-02-01,6:00:00,511.46,546.46,Data Loss,Data Loss,3.78,139.62,806228.31,0.03,28.78,32.85,440357.44,0.82,193.48,214.15,84.18,92,89.6,114.18,32.77,96,89,92,29,-94.82,21.36,23.36,5.76,96.2,163.69,169.2,2784440.75,0.91,71,70.51,1223388.13,0.94,0,0,305522.09,1,2.21,21.85,63030.55,0.1,84.01,88.36,1398291.38,0.87,116.61,118.06,2191516.25,0.92,172.85,182.22,3321337.75,0.89,2.55,5.62,1011627,0.42,4.08,6.02,329712.47,0.63,156.49,360.52,3500969.25,0.4,50.79,50.45,479402.97,0.94,44.89,52.13,371508.66,0.8,0,,,0,,,0
2019-02-01,7:00:00,563.3,555.32,Data Loss,Data Loss,3.78,139.62,806228.31,0.03,47.76,48.75,440394.44,0.92,205.74,223.02,94.52,90.6,104.5,103.42,27.65,96.4,162,167,46,-96.1,23.81,21.28,6.08,96.2,185.83,190.84,2784632.25,0.91,82.08,81.29,1223466.88,0.94,0.88,1.16,305522.28,0.71,1.48,20.35,63032.81,0.07,103.27,104.65,1398393.88,0.9,113.66,116.08,2191628.5,0.91,174.8,183.7,3321508.75,0.89,2.58,6.17,1011629.5,0.39,4.14,6.2,329716.66,0.62,186.65,388.59,3501141.5,0.45,33.29,37.89,479450.03,0.82,48.66,54.81,371554.09,0.83,0,,,0,,,0
2019-02-01,8:00:00,588.11,601.11,Data Loss,Data Loss,3.78,139.62,806228.31,0.03,26.54,30.9,440424.91,0.8,243.4,271.75,98.95,93.4,117.4,118.27,32.26,96.2,197,203,55,-96.28,26.96,23.52,6.08,96.4,218.35,222.82,2784841,0.92,106.53,104.26,1223559.25,0.95,4.58,5.69,305527.19,0.75,0.91,23.13,63034.72,0.04,104.22,105.22,1398493.5,0.9,166.06,176.79,2191790.75,0.87,176.16,186.61,3321684.25,0.88,2.79,6.06,1011632.38,0.43,4.27,7.57,329720.94,0.52,208.02,415.66,3501330.75,0.47,31.86,36.79,479505.53,0.8,38.94,47.8,371599.41,0.76,0,,,0,,,0
2019-02-01,9:00:00,583.83,573.05,Data Loss,Data Loss,3.78,139.62,806228.31,0.03,30.42,34.2,440460.81,0.83,272.94,305.72,96,94.8,119.3,135.68,40.45,95.8,185,190,48,-96.92,20.7,22.72,7.36,93.8,228.04,230.43,2785071,0.93,112.82,109.52,1223673.63,0.96,12.17,13.19,305533.66,0.87,1.14,20.87,63035.88,0.05,98.5,98.97,1398592.25,0.91,144.76,143.08,2191945,0.94,188.25,196.46,3321862.5,0.9,2.77,6.02,1011635.31,0.43,10.14,18.83,329729.19,0.5,228.89,424.76,3501551.75,0.5,33.08,37.67,479561.31,0.81,49.08,55.9,371644.13,0.82,0,,,0,,,0
