DATE,TIME,BLD A (KW),BLD A (KVA),BLD A (KVAR),BLD A (PF),Plant Chillers (KW),Plant Chillers (Avg Current),Plant Chillers (kWh),Plant Chillers (PF),BLD A FITNESS ZONE (KW),BLD A FITNESS (AVG CURRENT),BLD A FITNESS (kWh),BLD A FITNESS (PF),BLD B (KW),BLD B (kVa),BLD B (kVAR),BLD B (PF),BLD D (KW),BLD D (kVA),BLD D (kVAR),BLD D (PF),BLD E (KW),BLD E (kVA),BLD E (KVAR),BLD E (PF),BLD G (KW),BLD G (kVA),BLD G (kVAR),BLD G (PF),BLD H (KW),BLD H Average Current,BLD H (kWh),BLD H (PF),BLD J (KW),BLD J Average Current,BLD J (kWh),BLD J (PF),BLD K (KW),BLD K Average Current,BLD K (kWh),BLD K (PF),BLD M (KW),BLD M (Average Current),BLD M (kWh),BLD M (PF),BLD N (KW),BLD N Average Current,BLD N (kWh),BLD N (PF),BLD P (KW),BLD P Average Current,BLD P (kWh),BLD P (PF),RES PH 1 & 2 (KW),RES PH 1 & 2 Avg Current,RES PH 1 & 2 (kWh),RES PH 1 & 2 (PF),RES PH 3 (KW),RES PH 3 Avg Current,RES PH 3 (kWh),RES PH 3 (PF),BLD S (KW),BLD S Avg Current,BLD S (kWh),BLD S (PF),BLD T (KW),BLD T Avg Current,BLD T (kWh),BLD T (PF),BLD V (KW),BLD V Avg Current,BLD V (kWh),BLD V (PF),BLD Z (KW),BLD Z Avg Current,BLD Z (kWh),BLD Z (PF),BLD C (KW)
2019-01-01,0:00:00,367.02,375.14,44.31,99.4,3.78,139.62,806228.31,0.03,2.44,4.22,422953.91,0.52,139.86,No Data,No Data,No Data,52.94,67.58,29.7,89.2,96,106,46,-90.07,17.58,20.32,5.92,95.4,127.2,140.09,2662940,0.84,48.08,49.89,1165039.88,0.89,0,0,302195.88,1,1.63,19.85,61478.06,0.08,63.31,67.82,1328442.88,0.84,92.16,97.24,2097257.75,0.87,146.64,164.06,3180234.5,0.83,2.75,5.22,1009530.25,0.49,2.47,3.79,326703,0.6,176.03,204.36,3340410.75,0.79,14.26,21.4,457343.19,0.61,30.97,39.59,342443.5,0.72,0
2019-01-01,1:00:00,364.06,355.94,42.83,99.2,3.78,139.62,806228.31,0.03,7,7.5,422958.13,0.88,146.51,No Data,No Data,No Data,56.78,57.86,26.62,90.6,87,91,31,-93.83,17.14,16.32,5.6,92.2,119.1,130.39,2663061.25,0.85,48.55,50.72,1165089.88,0.89,0,0,302195.88,1,1.92,17.03,61479.4,0.11,65.07,70.05,1328507.63,0.84,89.15,94.6,2097355,0.87,148.32,165.53,3180381.5,0.84,2.45,4.61,1009532.88,0.5,3.05,4.46,326705.97,0.63,165.77,197.69,3340573.25,0.78,20.06,25.27,457360.25,0.74,33.06,42.69,342477.06,0.72,0
2019-01-01,2:00:00,366.72,367.75,44.31,99.2,3.78,139.62,806228.31,0.03,4.51,5.57,422962.44,0.72,145.62,No Data,No Data,No Data,49.41,66.56,30.21,89.6,82,87,31,-93.28,18.74,15.36,6.24,93.6,113.09,125.47,2663181.5,0.84,43.68,46.69,1165138.75,0.87,0,0,302195.88,1,1.57,21.23,61481.36,0.07,62.77,67.1,1328573,0.85,99.78,103.18,2097450.25,0.9,147.31,163.76,3180527,0.84,2.54,4.75,1009535.5,0.5,3,4.47,326708.91,0.62,143.71,182.41,3340734.75,0.73,18.02,23.64,457377.09,0.71,32.31,40.2,342509.78,0.75,0
2019-01-01,3:00:00,352.84,361.85,42.83,99.2,3.78,139.62,806228.31,0.03,4.69,5.87,422966.81,0.71,144.15,No Data,No Data,No Data,49.72,49.66,25.6,88.2,88,94,36,-92.56,16.08,16.48,5.12,95.2,131.52,140.79,2663299.5,0.87,46.96,49.64,1165188.5,0.88,0,0,302195.88,1,1.58,18.78,61482.96,0.08,59.25,65.2,1328636.88,0.83,98.31,102.26,2097553.25,0.89,141.98,159.22,3180673,0.83,2.78,4.9,1009538.13,0.53,4.25,5.5,326712.28,0.71,154.33,174.4,3340900.75,0.82,16.62,22.65,457394.88,0.68,41.64,49.14,342543.81,0.79,0
2019-01-01,4:00:00,358.45,351.51,42.83,99.2,3.78,139.62,806228.31,0.03,3.8,4.87,422971.19,0.7,140.9,No Data,No Data,No Data,50.18,58.88,26.11,87.4,92,100,41,-91.22,17.92,19.04,5.28,96.2,121.76,136.06,2663418.25,0.84,47.95,50.39,1165237.88,0.88,0,0,302195.88,1,1.9,17.3,61484.64,0.11,53.29,58.8,1328688.63,0.82,97.89,104.51,2097651,0.87,142.35,159.57,3180817,0.84,2.69,5.23,1009540.69,0.48,2.91,4.22,326715.28,0.64,174.22,205.5,3341066.25,0.79,20.44,25.52,457412.56,0.74,32.41,43.24,342578.56,0.7,0
2019-01-01,5:00:00,359.48,357.42,39.88,99.4,3.78,139.62,806228.31,0.03,2.2,3.74,422975.84,0.53,141.49,No Data,No Data,No Data,50.28,57.86,22.53,90.4,97,104,41,-92.16,15.12,15.2,5.44,92.8,121.5,134.69,2663539,0.85,55.51,58.48,1165288.13,0.89,0,0,302195.88,1,1.95,17.25,61486.64,0.11,46.29,52.65,1328737.5,0.8,91.71,96.28,2097746.25,0.89,148.3,165.25,3180960.75,0.84,2.47,4.59,1009543.25,0.5,2.88,4.04,326718.22,0.66,159.19,193.56,3341227.25,0.77,18.14,23.09,457430.34,0.73,29.52,40.52,342613.44,0.68,0
2019-01-01,6:00:00,430.08,451.94,63.51,99,3.78,139.62,806228.31,0.03,20.63,27.58,422987.72,0.65,157.29,No Data,No Data,No Data,56.12,66.56,31.23,88.8,87,92,33,-93.34,17.82,20.64,5.44,96.8,121.34,131.93,2663664.5,0.85,62.36,63.31,1165345.63,0.91,0,0,302196.75,1,0.45,17.94,61488.71,0.02,88.88,90.74,1328805.75,0.89,94.43,103.33,2097846,0.84,149.17,166.07,3181104,0.83,2.66,4.87,1009545.81,0.51,4.06,5.35,326721.69,0.7,169.13,204.01,3341391,0.76,16.2,22.34,457449.28,0.67,36.95,46.88,342649.47,0.73,0
2019-01-01,7:00:00,454.74,447.51,63.51,99,3.78,139.62,806228.31,0.03,22.08,28.17,423007.56,0.71,169.99,No Data,No Data,No Data,57.96,75.78,35.84,88.2,123,129,41,-94.8,19.2,17.92,6.56,94.2,119.01,129.88,2663795,0.85,60.27,61.27,1165402.38,0.91,2.84,3.44,302197.56,0.77,0.12,19.84,61489.04,0.01,90.65,91.58,1328897.88,0.9,110.86,118.4,2097948,0.87,141.17,159.61,3181247.5,0.82,2.84,5.15,1009548.5,0.51,4.67,6.2,326726.59,0.7,183.49,205.01,3341579,0.83,22.24,30.07,457472.78,0.68,36.85,43.65,342684.75,0.78,0
2019-01-01,8:00:00,439.98,429.78,59.08,99,3.78,139.62,806228.31,0.03,16.49,24.36,423028.19,0.63,171.32,No Data,No Data,No Data,53.81,58.88,26.11,88.2,150,156,44,-95.92,14.48,13.12,6.72,88.2,120.58,132.12,2663922.75,0.85,60.47,61.02,1165460.88,0.92,0,0,302198.44,1,0.43,17.25,61489.44,0.02,81.72,85.48,1328985,0.87,147.75,167.79,2098061.25,0.82,137.43,156.79,3181389.5,0.82,2.66,4.9,1009551.19,0.51,4.91,6.24,326731.44,0.73,192.91,216.17,3341774,0.83,21.94,29.93,457495.91,0.68,39.7,48.31,342720.16,0.76,0
2019-01-01,9:00:00,447.36,435.69,62.03,99,3.78,139.62,806228.31,0.03,18.76,26.22,423046.72,0.67,167.78,No Data,No Data,No Data,53.04,63.49,27.65,90.8,139,145,45,-95.09,16.98,15.52,6.72,90.8,132.25,142.25,2664051,0.87,57.3,59.8,1165522,0.89,0,0,302198.78,1,0.71,18.24,61490.02,0.04,76.42,80.57,1329067.25,0.86,104.31,116.23,2098171.75,0.83,149.81,167.2,3181531.5,0.84,2.72,4.63,1009553.88,0.55,4.67,7.23,326736.31,0.6,210.12,245.45,3341972,0.8,21.77,29.78,457518.81,0.68,35.51,43.02,342755.22,0.77,0
