DATE,TIME,BLD A (KW),BLD A (KVA),BLD A (KVAR),BLD A (Apparent PF),Plant Chillers (KW),Plant Chillers (Avg Current),Plant Chillers (kWh),Plant Chillers (Apparent PF),Plant Chillers (Displacement PF),BLD A FITNESS ZONE (KW),BLD A FITNESS (AVG CURRENT),BLD A FITNESS (kWh),BLD A FITNESS (Apparent PF),BLD A FITNESS (Displacement PF),BLD B (KW),BLD B (kVa),BLD B (kVAR),BLD B (PF),BLD D (KW),BLD D (kVA),BLD D (kVAR),BLD D (PF),BLD E (KW),BLD E (kVA),BLD E (KVAR),BLD E (PF),BLD G (KW),BLD G (kVA),BLD G (kVAR),BLD G (PF),BLD H (KW),BLD H Average Current,BLD H (kWh),BLD H (Apparent PF),BLD H (DISPLACEMENT PF),BLD J (KW),BLD J Average Current,BLD J (kWh),BLD J (Apparent PF),BLD J (Displacement PF),BLD K (KW),BLD K Average Current,BLD K (kWh),BLD K (Apparent PF),BLD K (Displacement PF),BLD M (KW),BLD M (Average Current),BLD M (kWh),BLD M (Apparent PF),BLD M (Displacement PF),BLD N (KW),BLD N Average Current,BLD N (kWh),BLD N (Apparent PF),BLD N (Displacement PF),BLD P (KW),BLD P Average Current,BLD P (kWh),BLD P (Apparent PF),BLD P (Displacement PF),RES PH 1 & 2 (KW),RES PH 1 & 2 Avg Current,RES PH 1 & 2 (kWh),RES PH 1 & 2 (Apparent PF),RES PH 1 & 2 (Displacement PF),RES PH 3 (KW),RES PH 3 Avg Current,RES PH 3 (kWh),RES PH 3 (Apparent PF),RES PH 3 (Displacement PF),BLD S (KW),BLD S Avg Current,BLD S (kWh),BLD S (Apparent PF),BLD S (Displacement PF),BLD T (KW),BLD T Avg Current,BLD T (kWh),BLD T (Apparent PF),BLD T (Displacement PF),BLD V (KW),BLD V Avg Current,BLD V (kWh),BLD V (Apparent PF),BLD V (Displacement PF),BLD Z (KW),BLD Z Avg Current,BLD Z (kWh),BLD Z (Apparent PF),BLD Z (Displacement PF),COGEN 1 (kW),COGEN 1 (kVAR),COGEN 1 (kVA),COGEN2 (kW),COGEN2 (KVAR),COGEN2 (KVA),BLD C (kW),BLD C Avg Current,BLD C (kWh),BLD C (Apparent PF),BLD C (Displacement PF) 
2019-07-01,0:00:00,292.87,276.18,32.49,0.994,0,0,0,0,0,4.61,5.06,517258.78,0.82,0.87,106.63,122.58,62.03,0.86,57.19,62.46,26.11,0.902,150,167,75,-89.3,11.1,14.08,5.44,0.91,88.29,95.94,3351555.5,0.87,0.87,23.36,25.39,1459018.63,0.86,0.89,0,0,373197.31,1,1,73.95,102.03,271256.03,0.69,0.7,68.43,70.23,1692969.75,0.9,0.9,50.97,60.37,2605014.75,0.79,0.8,232.26,279.3,3984303.75,0.79,0.79,141.77,151.91,1341369.38,0.88,0.88,41.75,52.4,449327.81,0.75,0.75,216.8,274.82,4253424,0.74,0.75,27.46,35.03,607298.13,0.74,0.76,3.67,6.14,474854.78,0.56,0.57,0,0,0,0,0,0,149.3,397.85,4260198,0.99,1
2019-07-01,1:00:00,274.41,271.75,35.45,0.994,0,0,0,0,0,4.62,5.28,517264.44,0.77,0.84,106.19,124.06,60.55,0.87,57.5,60.93,23.04,0.944,82,88,34,-92.02,10.61,12.32,5.44,0.9,89.96,99.52,3351646.25,0.85,0.85,21.75,23.69,1459041.88,0.86,0.88,0,0,373197.34,1,1,80.76,116.53,271332.78,0.65,0.69,68.42,70.87,1693037.88,0.89,0.89,47.44,58.75,2605059,0.76,0.76,229.42,278.12,3984535,0.78,0.78,137.74,147.26,1341514.88,0.88,0.88,36.34,38.82,449359.53,0.88,0.88,216.01,275.53,4253630.5,0.74,0.74,24.91,33.23,607321.19,0.7,0.72,4.01,6.08,474859.16,0.62,0.66,0,0,0,0,0,0,141.54,375.89,4260344,0.99,1
2019-07-01,2:00:00,282.98,282.09,29.54,0.996,0,0,0,0,0,4.35,4.94,517269.13,0.77,0.85,108.11,127.02,64.98,0.86,52.99,57.86,23.04,0.942,89,98,43,-89.8,9.28,10.88,5.44,0.89,81.04,88.1,3351731.75,0.86,0.87,21.75,23.68,1459064.88,0.86,0.89,0,0,373197.34,1,1,71.76,97.17,271406.34,0.7,0.72,65.64,67.59,1693103.88,0.89,0.9,40.04,41.47,2605098.5,0.9,0.91,223.61,272.79,3984757.5,0.78,0.78,132.49,141.95,1341658.75,0.88,0.88,38.73,40.58,449395.22,0.89,0.9,217.84,277.06,4253828,0.74,0.75,27.44,35.27,607346.56,0.73,0.76,8.1,9.06,474863.44,0.84,0.88,0,0,0,0,0,0,167.53,444.59,4260492,0.99,1
2019-07-01,3:00:00,271.02,248.12,31.02,0.992,0,0,0,0,0,4.49,5.13,517274.06,0.76,0.84,102.06,118.15,60.55,0.86,53.56,62.98,25.6,0.902,87,94,38,-91.21,11.38,10.56,5.44,0.89,89.19,98.01,3351816.25,0.85,0.85,23.54,25.21,1459087.13,0.87,0.89,0,0,373197.34,1,1,77.99,106.33,271483.47,0.69,0.69,61.4,64.03,1693167.88,0.87,0.88,35.93,38.78,2605139.75,0.86,0.86,222.31,273.46,3984973,0.76,0.76,163.66,175.51,1341802.75,0.87,0.87,43.21,48.07,449432.41,0.83,0.84,222.85,285.51,4253965.5,0.73,0.73,22.31,30.15,607371.75,0.69,0.7,5.06,6.53,474870,0.72,0.74,0,0,0,0,0,0,133.49,351.34,4260635.5,0.99,1
2019-07-01,4:00:00,274.41,252.55,31.02,0.992,0,0,0,0,0,6.25,6.25,517279.28,0.88,0.92,100.58,119.63,63.51,0.85,52.68,52.22,20.99,0.902,78,85,36,-90.43,11.06,12.96,5.44,0.89,88.38,93.69,3351900,0.88,0.89,23.7,24.95,1459111,0.89,0.9,0,0,373197.34,1,1,72.27,98.5,271558.66,0.69,0.71,67.61,69.62,1693234.38,0.89,0.9,40.03,41.9,2605181.5,0.89,0.9,203.54,256.99,3985181.5,0.75,0.75,137.72,147.58,1341941.63,0.88,0.88,34.37,36.83,449470.94,0.87,0.88,227.5,286.09,4254125.5,0.75,0.75,24.53,32.69,607397.56,0.7,0.71,5.64,7.64,474876.63,0.69,0.71,0,0,0,0,0,0,147.46,390.48,4260775,0.99,1
2019-07-01,5:00:00,265.4,261.42,33.97,0.992,0,0,0,0,0,5.06,5.36,517285.41,0.82,0.89,106.34,121.11,62.03,0.86,57.34,54.78,22.02,0.902,80,87,35,-91.63,10.21,11.04,5.44,0.89,88.45,95.87,3351989.25,0.86,0.86,26.53,30.15,1459135.5,0.81,0.85,0,0,373197.34,1,1,81.2,109.78,271633.97,0.69,0.71,66.45,68.54,1693303.63,0.88,0.89,39.13,41.42,2605222,0.87,0.88,195.44,247.09,3985385,0.74,0.74,135.69,145.13,1342081.13,0.87,0.87,25.4,31.5,449498.66,0.75,0.75,229.24,287.98,4254275,0.74,0.75,21.48,27.78,607421.63,0.72,0.75,5.73,7.94,474883.22,0.67,0.69,0,0,0,0,0,0,145.34,381.14,4260920,0.99,1
2019-07-01,6:00:00,276.48,282.09,35.45,0.992,0,0,0,0,0,30.04,42.16,517303.91,0.67,0.67,102.94,122.58,66.46,0.84,52.12,59.9,26.11,0.902,88,95,39,-90.84,10.45,10.4,5.6,0.87,98.14,107.32,3352074.75,0.86,0.87,24.47,27.12,1459163.13,0.84,0.89,1.94,2.59,373198.78,0.71,0.77,71.16,97.36,271709.41,0.69,0.71,64.85,67.98,1693368.13,0.87,0.88,73.24,81.45,2605276.25,0.84,0.84,190.99,242.86,3985584.75,0.74,0.74,138.8,148.39,1342217.13,0.88,0.88,26.9,33.03,449523.78,0.76,0.76,233.03,289.62,4254423,0.75,0.76,20.63,30.2,607445.19,0.64,0.65,3.35,6.84,474889.44,0.46,0.47,0,0,0,0,0,0,161.6,429.43,4261075,0.99,1
2019-07-01,7:00:00,308.38,304.25,36.92,0.994,0,0,0,0,0,15.62,23.46,517325.06,0.63,0.63,113.87,129.97,66.46,0.86,55.65,56.32,23.04,0.898,80,86,35,-91.58,10.3,12.16,6.88,0.86,103.77,111.21,3352176,0.88,0.89,37.61,38.85,1459196,0.91,0.95,1.8,2.43,373201,0.71,0.75,69.81,96.19,271782.31,0.69,0.71,73.95,75.9,1693441.63,0.9,0.91,83.66,94.66,2605366.75,0.83,0.84,215.11,266.14,3985785.75,0.77,0.77,138.16,149.8,1342354.38,0.87,0.88,28.61,39.36,449554.53,0.68,0.69,242.19,300.34,4254665.5,0.76,0.77,37.56,48.34,607476.44,0.73,0.75,3.25,6.64,474893.63,0.46,0.47,0,0,0,0,0,0,151.55,406.9,4261230,0.99,1
2019-07-01,8:00:00,410.29,403.2,81.23,0.98,0,0,0,0,0,16.14,23.89,517341.94,0.63,0.64,134.4,152.12,78.28,0.86,59.96,60.42,24.58,0.94,122,134,57,-90.45,9.26,12,5.6,0.87,116.76,127.49,3352287.75,0.86,0.87,37.64,39.16,1459233.25,0.9,0.94,1.67,2.36,373202.75,0.68,0.72,71.6,97.69,271853.13,0.69,0.72,73.72,75.94,1693515,0.89,0.9,104.48,117.29,2605470.25,0.84,0.84,223.35,272.35,3986001.75,0.78,0.78,146.29,159.41,1342500.13,0.87,0.87,28.44,38.72,449585.59,0.69,0.69,254.42,314.89,4254907,0.76,0.77,37.35,48.33,607508.19,0.73,0.73,13.54,18.05,474901.13,0.7,0.71,0,0,0,0,0,0,145.56,389.05,4261375,0.99,1
2019-07-01,9:00:00,389.17,404.68,85.66,0.976,0,0,0,0,0,30.81,41.82,517367,0.69,0.7,135.43,153.6,78.28,0.86,51.05,52.22,22.02,0.9,162,177,74,-90.83,10.21,16.96,11.68,0.78,112.96,125.66,3352401.5,0.84,0.85,39.17,40.3,1459272.38,0.91,0.94,1.74,2.44,373204.44,0.68,0.72,77.67,110.31,271927.59,0.66,0.69,68.13,70.79,1693585.13,0.88,0.89,120.15,143.13,2605578.5,0.79,0.79,227.02,271.81,3986232.25,0.79,0.79,149.63,160.61,1342655.38,0.88,0.88,35.16,47.36,449616.06,0.69,0.69,261.19,318.71,4255157,0.77,0.78,33.3,43.06,607540.69,0.72,0.74,15.24,19.75,474911.19,0.72,0.74,0,0,0,0,0,0,169.89,451.16,4261526.5,0.99,1
2019-07-01,10:00:00,451.5,472.62,96,0.98,0,0,0,0,0,17.48,24.36,517386.66,0.68,0.69,137.8,158.03,81.23,0.85,47.87,55.3,24.06,0.902,183,210,104,-86.7,11.79,12.96,6.4,0.86,110.14,121.68,3352513.75,0.86,0.87,39.28,40.63,1459311.13,0.91,0.95,0,0,373206.09,1,1,86.47,120.26,272007.41,0.69,0.71,65.99,69.26,1693653.38,0.88,0.89,111.8,134.43,2605691,0.79,0.79,270.84,343.79,3986482.25,0.76,0.76,171.53,188.96,1342820.63,0.87,0.87,34.92,45.34,449649.06,0.73,0.73,267.17,324.81,4255413.5,0.78,0.79,29.39,39.73,607577.06,0.7,0.71,3.32,6.62,474922.88,0.47,0.49,0,0,0,0,0,0,162.42,437.44,4261686.5,0.99,1
