DATE,TIME,BLD A (KW),BLD A (KVA),BLD A (KVAR),BLD A (Apparent PF),Plant Chillers (KW),Plant Chillers (Avg Current),Plant Chillers (kWh),Plant Chillers (Apparent PF),Plant Chillers (Displacement PF),BLD A FITNESS ZONE (KW),BLD A FITNESS (AVG CURRENT),BLD A FITNESS (kWh),BLD A FITNESS (Apparent PF),BLD A FITNESS (Displacement PF),BLD B (KW),BLD B (kVa),BLD B (kVAR),BLD B (PF),BLD D (KW),BLD D (kVA),BLD D (kVAR),BLD D (PF),BLD E (KW),BLD E (kVA),BLD E (KVAR),BLD E (PF),BLD G (KW),BLD G (kVA),BLD G (kVAR),BLD G (PF),BLD H (KW),BLD H Average Current,BLD H (kWh),BLD H (Apparent PF),BLD H (DISPLACEMENT PF),BLD J (KW),BLD J Average Current,BLD J (kWh),BLD J (Apparent PF),BLD J (Displacement PF),BLD K (KW),BLD K Average Current,BLD K (kWh),BLD K (Apparent PF),BLD K (Displacement PF),BLD M (KW),BLD M (Average Current),BLD M (kWh),BLD M (Apparent PF),BLD M (Displacement PF),BLD N (KW),BLD N Average Current,BLD N (kWh),BLD N (Apparent PF),BLD N (Displacement PF),BLD P (KW),BLD P Average Current,BLD P (kWh),BLD P (Apparent PF),BLD P (Displacement PF),RES PH 1 & 2 (KW),RES PH 1 & 2 Avg Current,RES PH 1 & 2 (kWh),RES PH 1 & 2 (Apparent PF),RES PH 1 & 2 (Displacement PF),RES PH 3 (KW),RES PH 3 Avg Current,RES PH 3 (kWh),RES PH 3 (Apparent PF),RES PH 3 (Displacement PF),BLD S (KW),BLD S Avg Current,BLD S (kWh),BLD S (Apparent PF),BLD S (Displacement PF),BLD T (KW),BLD T Avg Current,BLD T (kWh),BLD T (Apparent PF),BLD T (Displacement PF),BLD V (KW),BLD V Avg Current,BLD V (kWh),BLD V (Apparent PF),BLD V (Displacement PF),BLD Z (KW),BLD Z Avg Current,BLD Z (kWh),BLD Z (Apparent PF),BLD Z (Displacement PF),COGEN 1 (kW),COGEN 1 (kVAR),COGEN 1 (kVA),COGEN2 (kW),COGEN2 (KVAR),COGEN2 (KVA),BLD C (kW),BLD C Avg Current,BLD C (kWh),BLD C (Apparent PF),BLD C (Displacement PF) 
2019-03-01,0:00:00,434.36,432.74,53.17,0.994,3.78,139.62,806228.31,0.03,,7.01,7.19,455643.38,0.85,,168.22,181.66,78.28,90.2,65.18,72.7,30.21,0.9,110,116,39,-94.37,18,16.48,6.08,92.8,127.94,135.66,2895854.25,0.88,,82.97,81.25,1277655.88,0.94,,2.06,2.39,307965.5,0.81,,1.62,21.15,64507.22,0.07,,75.25,78.21,1458020,0.87,,104.8,106.74,2272415,0.91,,216.14,232.59,3442055,0.87,,2.8,6.29,1013517.25,0.41,,3.9,5.86,332552.03,0.62,,180.61,203.2,3630919.5,0.82,,26.34,29.65,508641.44,0.82,,34.54,43.56,401978.72,0.74,,1504,633,No Data,0,0,No Data,0,,,,
2019-03-01,1:00:00,446.92,432.74,56.12,0.992,3.78,139.62,806228.31,0.03,,10.91,10.56,455654.13,0.94,,161.87,181.66,81.23,89.6,64.41,76.8,33.28,0.904,117,127,52,-91.26,16.78,19.36,4.96,96.6,131.26,138.4,2895990,0.88,,83.09,81.91,1277738.13,0.94,,0,0,307965.53,1,,1.48,20.81,64509.59,0.07,,75.22,78.36,1458093,0.87,,103.83,106.26,2272521.75,0.9,,199.24,205.9,3442252,0.9,,2.59,5.24,1013519.94,0.46,,3.55,7.06,332555.66,0.47,,155.51,188.23,3631092.75,0.76,,34.8,37.11,508676.31,0.87,,37.95,46.2,402017.97,0.76,,1499,627,No Data,0,0,No Data,0,,,,
2019-03-01,2:00:00,432.3,462.28,51.69,0.994,3.78,139.62,806228.31,0.03,,11.42,8.84,455664.44,0.93,,159.95,174.28,76.8,89.8,61.29,74.24,33.28,0.902,113,120,44,-93.02,19.47,16.32,5.12,94.6,138.17,146.42,2896128.5,0.89,,79.05,79.52,1277819.13,0.93,,0,0,307965.53,1,,2.73,18.32,64511.62,0.14,,72.4,75.43,1458165.88,0.88,,105.53,110.39,2272624.75,0.9,,189.71,197.46,3442440.5,0.91,,2.66,5.81,1013522.63,0.43,,3.47,6.95,332559.22,0.47,,156.13,189.83,3631259.75,0.77,,27.98,32.42,508691.81,0.86,,40.34,47.66,402037.78,0.79,,1499,630,No Data,0,0,No Data,0,,,,
2019-03-01,3:00:00,431.11,472.62,59.08,0.992,3.78,139.62,806228.31,0.03,,12.39,11.97,455676.09,0.94,,159.36,178.71,81.23,89.4,61.95,62.46,26.62,0.91,85,90,33,-93.06,18.02,16.16,5.12,93.8,137.11,144.66,2896266.75,0.89,,80.93,81.07,1277898.5,0.93,,0,0,307965.56,1,,1.96,18.27,64514.55,0.1,,73.74,77.1,1458238.13,0.87,,114.19,115.2,2272729.25,0.92,,175.18,184.71,3442617.25,0.89,,2.7,5.51,1013525.13,0.46,,3.51,6.79,332562.63,0.48,,160.54,174.7,3631430.5,0.86,,24.23,28.1,508742.91,0.8,,42.52,50.13,402098.25,0.79,,1496,660,No Data,0,0,No Data,0,,,,
2019-03-01,4:00:00,439.83,434.22,53.17,0.994,3.78,139.62,806228.31,0.03,,13.08,12.54,455687.97,0.95,,158.33,177.23,81.23,88.8,62.11,63.49,26.62,0.906,101,111,47,-90.65,18.83,21.6,5.12,96.8,167.52,169.18,2896404,0.93,,77.13,77.65,1277976,0.92,,0,0,307965.56,1,,2.26,21.58,64516.41,0.1,,72.46,75.98,1458309.75,0.87,,105.23,107.97,2272834.75,0.9,,162.82,175.21,3442788,0.87,,2.52,5.06,1013527.75,0.47,,3.59,7.27,332566.22,0.46,,178.16,202.72,3631599,0.82,,30.06,33.56,508775.5,0.83,,41.56,47.58,402141.72,0.81,,1499,651,No Data,0,0,No Data,0,,,,
2019-03-01,5:00:00,445.14,472.62,50.22,0.994,3.78,139.62,806228.31,0.03,,11.83,11.42,455700.38,0.95,,158.18,171.32,75.32,90.2,61.08,81.41,35.84,0.898,110,118,43,-92.92,18.93,15.68,6.4,92.6,131.06,137.72,2896541.25,0.9,,78.15,78.94,1278054.5,0.93,,0,0,307965.56,1,,2.88,17.46,64518.43,0.16,,70.44,72.92,1458381,0.89,,97.9,101.5,2272938.75,0.9,,162.55,173.69,3442955,0.88,,2.65,5.5,1013530.38,0.45,,3.71,5.67,332569.81,0.61,,170.23,194.88,3631769.75,0.82,,48.67,48.87,508809.84,0.93,,43.84,49.9,402185.41,0.83,,1500,696,No Data,0,0,No Data,0,,,,
2019-03-01,6:00:00,517.66,531.69,84.18,0.986,3.78,139.62,806228.31,0.03,,26.02,33.81,455721.63,0.76,,195.84,215.63,82.71,92.6,75.42,96.26,32.26,0.95,93,101,43,-90.55,17.49,19.36,6.4,95.2,167.51,169.66,2896686.75,0.92,,78.62,77.98,1278133.63,0.94,,0,0,307965.84,1,,1.97,19.58,64520.42,0.1,,88.52,90,1458452,0.9,,109.28,111.99,2273045.5,0.91,,168.73,179.12,3443121.25,0.88,,2.61,5.17,1013533,0.47,,3.76,6.01,332573.91,0.58,,154.42,188.38,3631937,0.76,,24.78,28.62,508843.81,0.8,,42.99,50.42,402228.91,0.8,,1500,649,No Data,0,0,No Data,0,,,,
2019-03-01,7:00:00,529.18,537.6,79.75,0.988,3.78,139.62,806228.31,0.03,,23.23,31.74,455750.91,0.6,,199.68,224.49,93.05,91.2,104.14,110.08,35.84,0.95,150,157,51,-94.6,20.56,19.52,6.4,95.2,191.51,193.26,2896860.25,0.93,,82.66,81.59,1278212.13,0.95,,7.52,8.32,307966.72,0.85,,1.47,17.96,64522.68,0.08,,100.55,102.42,1458552,0.9,,116.73,119.39,2273155.25,0.91,,163.37,175.95,3443287.25,0.87,,2.67,6.09,1013535.56,0.41,,4.79,6.94,332578.44,0.64,,224.39,233.35,3632148.75,0.9,,47.19,49.35,508895.84,0.89,,38.7,47.81,402270.69,0.76,,1501,641,No Data,0,0,No Data,0,,,,
2019-03-01,8:00:00,573.34,580.43,85.66,0.99,3.78,139.62,806228.31,0.03,,26,30.07,455774.31,0.61,,239.11,264.37,93.05,93.4,107.98,118.27,33.28,0.952,200,210,65,-95.25,20.9,22.4,6.4,95.8,208.25,212.97,2897065,0.92,,100.41,97.73,1278306.5,0.96,,4.1,4.78,307975.59,0.81,,1.55,22.4,64524.3,0.07,,111.71,115.34,1458650.13,0.88,,137.27,137.55,2273278.5,0.93,,174.27,185.37,3443460.25,0.88,,2.9,6,1013538.44,0.45,,4.44,8,332583,0.52,,242.86,265.55,3632386.25,0.85,,29.59,34.69,508948.84,0.79,,46.59,53.63,402312.88,0.81,,1501,637,No Data,0,0,No Data,0,,,,
2019-03-01,9:00:00,587.67,589.29,97.48,0.988,3.78,139.62,806228.31,0.03,,25.48,33.96,455799.22,0.61,,258.02,282.09,88.62,94.8,120.01,121.34,35.33,0.952,166,172,48,-96.09,21.98,20.64,6.56,94.8,236.08,240.58,2897285.5,0.93,,119.12,117.08,1278413.88,0.96,,12.69,13.58,307984.53,0.89,,3.72,20.66,64525.57,0.17,,128.77,129.12,1458767.63,0.92,,155.91,158.18,2273418.5,0.93,,174.41,192.36,3443635.25,0.86,,2.8,6.02,1013541.44,0.44,,4.3,8.21,332587.59,0.49,,299.81,314.55,3632670.25,0.9,,31.73,36.35,508974.72,0.81,,39.31,48.11,402333.53,0.76,,1496,589,No Data,1349,0,No Data,0,,,,
