DATE,TIME,BLD A (KW),BLD A (KVA),BLD A (KVAR),BLD A (Apparent PF),Plant Chillers (KW),Plant Chillers (Avg Current),Plant Chillers (kWh),Plant Chillers (Apparent PF),Plant Chillers (Displacement PF),BLD A FITNESS ZONE (KW),BLD A FITNESS (AVG CURRENT),BLD A FITNESS (kWh),BLD A FITNESS (Apparent PF),BLD A FITNESS (Displacement PF),BLD B (KW),BLD B (kVa),BLD B (kVAR),BLD B (PF),BLD D (KW),BLD D (kVA),BLD D (kVAR),BLD D (PF),BLD E (KW),BLD E (kVA),BLD E (KVAR),BLD E (PF),BLD G (KW),BLD G (kVA),BLD G (kVAR),BLD G (PF),BLD H (KW),BLD H Average Current,BLD H (kWh),BLD H (Apparent PF),BLD H (DISPLACEMENT PF),BLD J (KW),BLD J Average Current,BLD J (kWh),BLD J (Apparent PF),BLD J (Displacement PF),BLD K (KW),BLD K Average Current,BLD K (kWh),BLD K (Apparent PF),BLD K (Displacement PF),BLD M (KW),BLD M (Average Current),BLD M (kWh),BLD M (Apparent PF),BLD M (Displacement PF),BLD N (KW),BLD N Average Current,BLD N (kWh),BLD N (Apparent PF),BLD N (Displacement PF),BLD P (KW),BLD P Average Current,BLD P (kWh),BLD P (Apparent PF),BLD P (Displacement PF),RES PH 1 & 2 (KW),RES PH 1 & 2 Avg Current,RES PH 1 & 2 (kWh),RES PH 1 & 2 (Apparent PF),RES PH 1 & 2 (Displacement PF),RES PH 3 (KW),RES PH 3 Avg Current,RES PH 3 (kWh),RES PH 3 (Apparent PF),RES PH 3 (Displacement PF),BLD S (KW),BLD S Avg Current,BLD S (kWh),BLD S (Apparent PF),BLD S (Displacement PF),BLD T (KW),BLD T Avg Current,BLD T (kWh),BLD T (Apparent PF),BLD T (Displacement PF),BLD V (KW),BLD V Avg Current,BLD V (kWh),BLD V (Apparent PF),BLD V (Displacement PF),BLD Z (KW),BLD Z Avg Current,BLD Z (kWh),BLD Z (Apparent PF),BLD Z (Displacement PF),COGEN 1 (kW),COGEN 1 (kVAR),COGEN 1 (kVA),COGEN2 (kW),COGEN2 (KVAR),COGEN2 (KVA),BLD C (kW),BLD C Avg Current,BLD C (kWh),BLD C (Apparent PF),BLD C (Displacement PF) 
2019-05-01,0:00:00,338.07,327.88,38.4,0.992,3.78,139.62,806228.31,0.03,0.77,6.05,6.19,486630.78,0.87,0.92,130.56,146.22,63.51,0.9,53.61,59.39,24.58,0.912,127,133,40,-95.27,12.34,17.6,4.64,0.96,157.96,166.07,3156697.25,0.89,0.9,51.99,52.39,1389467,0.92,0.94,37.24,101.6,320152.19,0.34,0.36,88.06,118.75,141375.78,0.7,0.74,74.38,77.8,1592750.25,0.87,0.87,110.51,111.76,2452503.25,0.92,0.93,149.39,167.38,3699123.5,0.84,0.84,135.77,143.8,1123185.13,0.88,0.88,43.43,49.79,390530.47,0.81,0.81,177.36,200.07,3963283,0.82,0.88,14.8,20.68,565008.63,0.66,0.67,7.26,10.19,459016.47,0.66,0.68,0,0,0,0,0,0,141.68,373.11,3994129.5,0.99,1
2019-05-01,1:00:00,349.88,351.51,39.88,0.992,3.78,139.62,806228.31,0.03,0.77,5.43,5.8,486637.72,0.84,0.88,134.84,149.17,66.46,0.89,51.71,53.76,18.43,0.912,86,91,32,-93.49,11.3,17.44,4.8,0.96,151.28,157.41,3156852.75,0.9,0.9,75.62,77.19,1389524.88,0.91,0.92,37.79,102,320189.63,0.34,0.36,85.39,115.31,141464.98,0.69,0.73,65.18,66.97,1592812.5,0.88,0.88,100.14,103.34,2452605.25,0.9,0.91,149.26,166.82,3699273.5,0.83,0.83,133.7,141.86,1123318,0.88,0.88,40.17,43.38,390571.75,0.86,0.86,202.63,219.63,3963474.25,0.85,0.89,17.08,23.05,565026.31,0.69,0.7,7.9,10.79,459025.03,0.68,0.69,0,0,0,0,0,0,147.2,385.73,3994275.5,0.99,1
2019-05-01,2:00:00,343.83,345.6,42.83,0.992,3.78,139.62,806228.31,0.03,0.77,6.85,7.21,486643.75,0.83,0.88,128.05,143.26,66.46,0.88,58.27,64.51,28.67,0.912,87,92,34,-92.99,11.86,17.28,4.8,0.96,153.3,161.44,3157007.5,0.9,0.9,50.45,51.06,1389579.13,0.92,0.94,36.78,101.04,320226.72,0.34,0.36,88.03,123.48,141551.14,0.67,0.72,59.36,62.2,1592874.63,0.87,0.88,111.32,115.19,2452706.5,0.9,0.91,144.32,162.05,3699421.5,0.84,0.84,129.02,138.33,1123448.88,0.88,0.88,49.17,54.06,390613.47,0.85,0.85,192.63,203.47,3963666.25,0.88,0.95,18.38,23.08,565044.38,0.74,0.75,8.15,11.22,459033.88,0.68,0.69,0,0,0,0,0,0,151.12,400.29,3994417.5,0.99,1
2019-05-01,3:00:00,351.06,348.55,48.74,0.992,3.78,139.62,806228.31,0.03,0.77,6.1,6.24,486650.75,0.87,0.92,128.05,144.74,63.51,0.9,56.52,58.88,24.58,0.912,86,91,32,-93.53,12.43,10.56,4.8,0.88,153.18,161.26,3157162,0.89,0.89,63.05,64.47,1389632.5,0.91,0.92,38.01,102.08,320263.69,0.35,0.36,85.42,115.24,141637.67,0.69,0.74,60.1,62.93,1592934.25,0.87,0.87,105.12,106.92,2452809,0.91,0.92,146.79,164.78,3699566.5,0.83,0.83,131.45,139.47,1123578.5,0.88,0.88,38.4,42.06,390655.06,0.85,0.85,171.29,195.71,3963860,0.81,0.87,15.14,21.44,565062.38,0.65,0.66,8.12,10.53,459044.28,0.71,0.72,0,0,0,0,0,0,133.39,350.55,3994562,0.99,1
2019-05-01,4:00:00,344.71,339.69,41.35,0.992,3.78,139.62,806228.31,0.03,0.77,7.69,7.45,486658.63,0.93,0.95,129.53,147.69,70.89,0.88,49.66,51.71,19.97,0.912,83,88,32,-92.95,13.84,14.72,6.08,0.91,149.32,156.88,3157317,0.9,0.91,75.66,77.77,1389684.88,0.91,0.92,37.28,101.61,320301.53,0.35,0.36,83.19,115.19,141724.77,0.68,0.73,62.4,65.22,1592994.13,0.88,0.88,103.32,106.54,2452909.25,0.91,0.92,145.37,163.17,3699713,0.84,0.84,127.67,137.56,1123708.88,0.87,0.88,38.95,42.22,390694.31,0.86,0.87,172.44,196.4,3964052.25,0.82,0.88,18.56,23.82,565082.56,0.73,0.74,10.61,13.49,459055.31,0.74,0.74,0,0,0,0,0,0,137.76,365.71,3994694,0.99,1
2019-05-01,5:00:00,357.56,358.89,39.88,0.992,3.78,139.62,806228.31,0.03,0.77,10.93,10.58,486666.59,0.96,0.97,127.02,138.83,63.51,0.89,52.22,50.69,19.46,0.912,80,86,34,-92.23,12.5,11.84,5.12,0.89,157.95,164.76,3157472.5,0.89,0.9,51.42,53.84,1389739,0.88,0.9,38.11,102.32,320339.22,0.35,0.36,92.39,125.19,141813.58,0.69,0.74,59.82,62.85,1593054.25,0.86,0.86,102.45,107.17,2453010.5,0.88,0.89,143.94,162.11,3699857.75,0.83,0.83,125.95,134.92,1123838,0.87,0.87,36.78,45.97,390734.34,0.74,0.74,203.35,221.68,3964248.25,0.85,0.88,18.81,24.53,565102.81,0.71,0.72,12.44,14.64,459066.56,0.78,0.79,0,0,0,0,0,0,142.51,372.65,3994835.75,0.99,1
2019-05-01,6:00:00,377.06,375.14,47.26,0.992,3.78,139.62,806228.31,0.03,0.77,36.62,39.12,486683,0.88,0.88,126.13,144.74,69.42,0.88,55.55,57.86,23.55,0.912,86,93,36,-92.07,11.42,17.92,5.12,0.95,0,0,3157541,1,1,58.13,60.53,1389797.13,0.89,0.91,37.4,101.61,320376.88,0.35,0.36,84.45,115.76,141898.88,0.68,0.73,70.23,73.89,1593112.88,0.87,0.87,108.81,114.01,2453115.25,0.89,0.9,141.99,160.52,3700002.25,0.83,0.83,117.54,127.95,1123967.25,0.86,0.86,25.47,33.95,390765.53,0.7,0.7,189.87,201.65,3964441.75,0.88,0.95,16.94,22.69,565121.56,0.69,0.71,11.69,14.03,459078.03,0.78,0.79,0,0,0,0,0,0,166.12,439.53,3994992.75,0.99,1
2019-05-01,7:00:00,418.56,450.46,70.89,0.986,3.78,139.62,806228.31,0.03,0.77,25.24,29.93,486711.03,0.78,0.79,137.94,149.17,67.94,0.89,79.72,83.97,24.58,0.952,82,86,29,-94.16,13.65,13.28,5.92,0.87,0,0,3157541,1,1,70.91,70.26,1389858.75,0.93,0.95,48.18,112.75,320414.34,0.4,0.42,84.96,119.1,141981.63,0.66,0.72,84.39,84.11,1593192.75,0.91,0.91,114.22,116.47,2453228.5,0.9,0.91,145.53,164.99,3700143.75,0.82,0.82,142.16,150.65,1124096,0.88,0.88,42.62,47.56,390803.41,0.83,0.83,231.95,249.74,3964653.75,0.86,0.9,24.53,31.64,565146.25,0.72,0.73,10.59,14.39,459087.63,0.68,0.69,0,0,0,0,0,0,174.75,457.7,3995163.25,0.99,1
2019-05-01,8:00:00,445.14,450.46,67.94,0.99,3.78,139.62,806228.31,0.03,0.77,25.2,29.81,486734.66,0.81,0.81,149.91,175.75,78.28,0.89,104.5,100.86,31.23,0.952,138,148,56,-92.91,12.88,15.84,5.92,0.91,158.74,165.71,3157686,0.91,0.92,73.58,73.93,1389931.5,0.94,0.96,38.54,103.67,320456.5,0.35,0.37,87.01,119.44,142069.31,0.69,0.76,77.5,80.25,1593274.5,0.89,0.9,129.17,131.58,2453354.25,0.93,0.93,142.88,162.08,3700288.5,0.84,0.84,134.13,145.2,1124228.5,0.88,0.88,48.98,55.09,390850.16,0.84,0.84,249.48,271.07,3964884.25,0.87,0.9,26.28,32.38,565171.81,0.77,0.77,9.78,12.71,459097.16,0.73,0.74,0,0,0,0,0,0,203.91,546.03,3995350.5,0.99,1
2019-05-01,9:00:00,462.28,508.06,69.42,0.988,3.78,139.62,806228.31,0.03,0.77,22.97,27.97,486758.59,0.78,0.78,159.51,175.75,75.32,0.91,95.44,99.33,29.7,0.952,181,185,46,-96.9,15.74,16.8,6.08,0.92,186.63,192.57,3157859.75,0.92,0.92,81.24,80.99,1390013.63,0.94,0.96,46.42,111.45,320498.59,0.39,0.42,90.59,121.66,142158.56,0.71,0.75,99.28,101.85,1593353.38,0.9,0.9,173.69,182.72,2453498.5,0.9,0.9,145.34,164.63,3700436,0.84,0.84,127.27,136.39,1124356.88,0.88,0.88,45.73,49.57,390896.59,0.87,0.87,246.79,266.11,3965124.5,0.87,0.9,31.18,36.21,565199.56,0.81,0.83,9.03,12.74,459107.03,0.67,0.67,0,0,0,0,0,0,223.84,596.9,3995562,0.99,1
