DATE,TIME,BLD A (KW),BLD A (KVA),BLD A (KVAR),BLD A (Apparent PF),Plant Chillers (KW),Plant Chillers (Avg Current),Plant Chillers (kWh),Plant Chillers (Apparent PF),Plant Chillers (Displacement PF),BLD A FITNESS ZONE (KW),BLD A FITNESS (AVG CURRENT),BLD A FITNESS (kWh),BLD A FITNESS (Apparent PF),BLD A FITNESS (Displacement PF),BLD B (KW),BLD B (kVa),BLD B (kVAR),BLD B (PF),BLD D (KW),BLD D (kVA),BLD D (kVAR),BLD D (PF),BLD E (KW),BLD E (kVA),BLD E (KVAR),BLD E (PF),BLD G (KW),BLD G (kVA),BLD G (kVAR),BLD G (PF),BLD H (KW),BLD H Average Current,BLD H (kWh),BLD H (Apparent PF),BLD H (DISPLACEMENT PF),BLD J (KW),BLD J Average Current,BLD J (kWh),BLD J (Apparent PF),BLD J (Displacement PF),BLD K (KW),BLD K Average Current,BLD K (kWh),BLD K (Apparent PF),BLD K (Displacement PF),BLD M (KW),BLD M (Average Current),BLD M (kWh),BLD M (Apparent PF),BLD M (Displacement PF),BLD N (KW),BLD N Average Current,BLD N (kWh),BLD N (Apparent PF),BLD N (Displacement PF),BLD P (KW),BLD P Average Current,BLD P (kWh),BLD P (Apparent PF),BLD P (Displacement PF),RES PH 1 & 2 (KW),RES PH 1 & 2 Avg Current,RES PH 1 & 2 (kWh),RES PH 1 & 2 (Apparent PF),RES PH 1 & 2 (Displacement PF),RES PH 3 (KW),RES PH 3 Avg Current,RES PH 3 (kWh),RES PH 3 (Apparent PF),RES PH 3 (Displacement PF),BLD S (KW),BLD S Avg Current,BLD S (kWh),BLD S (Apparent PF),BLD S (Displacement PF),BLD T (KW),BLD T Avg Current,BLD T (kWh),BLD T (Apparent PF),BLD T (Displacement PF),BLD V (KW),BLD V Avg Current,BLD V (kWh),BLD V (Apparent PF),BLD V (Displacement PF),BLD Z (KW),BLD Z Avg Current,BLD Z (kWh),BLD Z (Apparent PF),BLD Z (Displacement PF),COGEN 1 (kW),COGEN 1 (kVAR),COGEN 1 (kVA),COGEN2 (kW),COGEN2 (KVAR),COGEN2 (KVA),BLD C (kW),BLD C Avg Current,BLD C (kWh),BLD C (Apparent PF),BLD C (Displacement PF) ,Column1,Column2,Column3,Column4,Column5
2019-11-01,0:00:00,375.73,363.32,54.65,0.988,114.59,108.65,1404277.38,0.98,0.99,4.32,5.06,594256.38,0.74,0.81,139.27,158.03,72.37,0.89,58.21,64,26.62,0.91,166,177,64,-93.55,16.99,15.36,5.44,0.93,112.56,121.73,3774456.25,0.87,0.87,52.15,52.87,1588724.13,0.92,0.95,39.35,105.66,464965,0.35,0.37,87.57,123.81,538909.69,0.67,0.72,68.99,70.49,1925077.63,0.89,0.9,108.64,112.83,2942392,0.9,0.9,185.24,193.01,4641576.5,0.9,0.9,158.02,162.74,1883604.25,0.91,0.91,46.3,51.19,591724.88,0.84,0.85,145.64,154.19,4965521,0.88,0.93,26.92,33.13,703497.38,0.76,0.77,3.63,5.81,516578.47,0.58,0.6,0,0,0,0,0,0,147.47,389.36,4796381.5,0.99,1,,,,,
2019-11-01,1:00:00,375.43,369.23,54.65,0.988,101.63,95.26,1404384.13,0.99,1,4.55,5.03,594262.31,0.77,0.86,130.41,147.69,70.89,0.88,56.17,65.54,26.62,0.91,110,119,48,-91.27,16.58,19.84,5.28,0.97,125.77,134.44,3774579,0.88,0.88,53.19,56.05,1588776.88,0.88,0.91,37.43,103.81,465002.44,0.34,0.35,91.25,128.84,538999.38,0.66,0.72,75.26,76.27,1925152.25,0.9,0.9,103.05,108.7,2942493,0.88,0.89,185.25,193.31,4641764,0.9,0.9,152.05,157.78,1883757.63,0.9,0.9,46.63,51.63,591767.56,0.84,0.84,151.79,159.33,4965674.5,0.88,0.93,24.38,30.72,703523.25,0.74,0.74,11.39,13.2,516585.25,0.8,0.83,0,0,0,0,0,0,150.33,396.29,4796531.5,0.99,1,,,,,
2019-11-01,2:00:00,362.44,367.75,48.74,0.99,113.8,109.69,1404490.13,0.99,0.99,4.74,5.06,594268.19,0.82,0.9,124.06,146.22,73.85,0.86,55.81,57.86,23.04,0.91,95,103,43,-91.06,15.76,17.28,6.56,0.93,103.74,111.33,3774692.75,0.89,0.89,43.83,47.33,1588822.13,0.88,0.9,34.81,101.42,465039.5,0.33,0.34,80.05,114.76,539086.63,0.67,0.72,74.83,76.2,1925226.5,0.91,0.91,103.52,109.95,2942592.25,0.89,0.9,169.5,180.79,4641940,0.9,0.9,147.2,153.27,1883908,0.92,0.92,40.43,42.94,591810.38,0.89,0.89,155.45,170.57,4965822.5,0.86,0.88,25.39,31.57,703550.56,0.76,0.77,7.16,7.88,516593.97,0.86,0.88,0,0,0,0,0,0,145.78,391.34,4796680,0.99,1,,,,,
2019-11-01,3:00:00,368.64,342.65,47.26,0.99,102.04,96.29,1404597.38,0.99,1,5.6,6.03,594274.06,0.82,0.86,126.42,146.22,73.85,0.86,55.55,62.46,27.65,0.91,99,109,49,-89.42,15.65,20.48,5.28,0.97,109.44,118.56,3774802.75,0.87,0.87,40.68,42.25,1588862.75,0.9,0.92,36.89,103.08,465076.47,0.34,0.35,80.48,109.16,539172.31,0.7,0.74,61.46,64.74,1925289.88,0.87,0.87,101.6,108.56,2942696.75,0.88,0.88,175.47,194.01,4642110,0.85,0.85,146.21,150.97,1884057,0.91,0.91,37.68,40.63,591850.75,0.87,0.87,144.53,154.7,4965971,0.87,0.92,24.39,30.92,703576.75,0.74,0.74,14.5,15.68,516604.97,0.86,0.87,0,0,0,0,0,0,148.57,393.98,4796829.5,0.99,1,,,,,
2019-11-01,4:00:00,363.18,378.09,50.22,0.992,113.09,106.98,1404706,0.98,0.99,7.51,7.46,594280.44,0.86,0.88,121.85,137.35,66.46,0.87,52.53,54.78,21.5,0.91,91,100,43,-90.77,16.64,19.36,5.28,0.96,115.68,122.08,3774913,0.89,0.89,46.59,50.76,1588903.75,0.86,0.87,37.43,103.58,465113.44,0.34,0.35,84.55,115.71,539257,0.69,0.74,64.24,66.92,1925349.63,0.88,0.88,102.18,108.38,2942796,0.88,0.89,161.93,174.62,4642274,0.87,0.87,144.16,150.04,1884201.75,0.9,0.9,38.26,40.98,591890.94,0.87,0.87,147.81,155.41,4966119.5,0.88,0.93,19.79,27.93,703601,0.66,0.66,11.51,13.96,516617.97,0.77,0.79,0,0,0,0,0,0,143.2,378.4,4796972.5,0.99,1,,,,,
2019-11-01,5:00:00,377.06,381.05,56.12,0.99,115.49,109.58,1404814,0.98,0.99,8.85,9.01,594287.69,0.82,0.84,120.52,141.78,70.89,0.87,56.12,66.05,29.18,0.91,99,109,49,-89.23,16.29,20.16,5.44,0.96,120.81,127.22,3775026.5,0.89,0.89,43.23,46.35,1588946,0.87,0.89,37.47,103.59,465150.66,0.34,0.35,81.54,111.09,539339.75,0.69,0.74,75.45,76.58,1925425.25,0.9,0.9,100.28,107.25,2942898.5,0.87,0.88,153.17,166.66,4642432.5,0.86,0.86,142.51,148.9,1884346.63,0.89,0.9,39.26,41.71,591930.44,0.88,0.88,133.45,329.18,4966265,0.38,0.41,25.38,31.84,703629.56,0.74,0.75,9.41,12.67,516628.81,0.69,0.69,0,0,0,0,0,0,144.15,380.56,4797117,0.99,1,,,,,
2019-11-01,6:00:00,392.12,397.29,63.51,0.988,113.93,108.25,1404921.25,0.99,0.99,23.17,27.55,594301.13,0.74,0.79,125.24,141.78,66.46,0.88,51.66,49.15,17.92,0.91,102,111,46,-90.83,18.8,17.76,5.6,0.95,111.75,119.87,3775140,0.88,0.88,44.66,47.99,1588989.5,0.87,0.89,36.07,102.47,465187.94,0.33,0.35,85.81,122.36,539422.63,0.66,0.7,90.1,91,1925500.88,0.91,0.92,101.52,109.12,2942999.75,0.87,0.88,153.6,167.4,4642588,0.87,0.87,146.57,152.63,1884489.25,0.91,0.91,29.85,35.31,591963.19,0.79,0.8,129.97,325.88,4966395,0.37,0.41,28.69,34.91,703657.69,0.77,0.79,9.38,10.9,516641.44,0.81,0.82,0,0,0,0,0,0,165.58,441.52,4797280.5,0.99,1,,,,,
2019-11-01,7:00:00,406.3,407.63,57.6,0.99,118.13,111.91,1405028.75,0.99,0.99,21.37,26.15,594325.44,0.71,0.76,162.02,193.48,73.85,0.92,81.77,99.33,26.62,0.952,93,99,38,-92.6,17.47,20.96,5.76,0.97,152.34,165.53,3775259.25,0.87,0.87,48.8,51.88,1589035.63,0.88,0.9,38.63,105.33,465224.81,0.34,0.36,96.96,134.35,539514.25,0.68,0.71,89.85,89.58,1925590.75,0.92,0.92,107.82,114,2943104.25,0.88,0.89,159.74,172.73,4642743,0.87,0.87,164.7,167.52,1884632.5,0.92,0.93,35.37,41.71,591998.63,0.79,0.79,171.94,367.02,4966560,0.44,0.49,28.48,33.74,703687.31,0.79,0.8,12.53,15.14,516653.63,0.77,0.78,0,0,0,0,0,0,187.75,498.08,4797455,0.99,1,,,,,
2019-11-01,8:00:00,460.21,477.05,64.98,0.99,99.76,93.99,1405137.13,0.99,1,21.7,27.13,594354.31,0.75,0.76,197.32,217.11,93.05,0.9,94.92,97.28,30.72,0.952,139,148,53,-93.38,18.5,19.04,5.92,0.96,200.86,207.58,3775453.75,0.91,0.92,68.75,69.52,1589095.63,0.92,0.94,41.82,108.68,465267.5,0.36,0.38,93.85,128.89,539607.69,0.69,0.72,92.14,93.07,1925682.75,0.91,0.91,133.04,136.9,2943226.5,0.91,0.92,159.59,173.07,4642905,0.87,0.87,164.26,170.89,1884796.75,0.9,0.9,48.14,51.79,592046.25,0.87,0.87,207.41,399.44,4966742.5,0.49,0.56,33.47,37.75,703723.5,0.83,0.84,12.32,14.87,516666.25,0.77,0.78,0,0,0,0,0,0,217.59,577.17,4797653,0.99,1,,,,,
2019-11-01,9:00:00,485.02,511.02,72.37,0.99,115.41,110.48,1405245.5,0.99,0.99,38.07,40.13,594383.75,0.9,0.91,246.2,271.75,93.05,0.94,107.93,110.59,34.3,0.952,180,185,48,-96.46,16.08,17.12,7.36,0.93,197.65,204.28,3775658,0.92,0.92,79.22,79.58,1589170.38,0.94,0.96,39.74,106.86,465308.31,0.35,0.37,94.23,131.98,539700.63,0.68,0.72,88.3,89.05,1925772.5,0.92,0.92,152.68,158.8,2943359.5,0.91,0.92,161.12,173.9,4643066,0.88,0.88,174.92,180.36,1884955.88,0.92,0.92,76.89,82.1,592104.38,0.89,0.89,214.25,403.09,4966948,0.5,0.59,32.63,37.13,703755.25,0.83,0.85,11.45,13.91,516678.84,0.78,0.78,0,0,0,0,0,0,243.11,650.78,4797884,0.99,1,,,,,
