DATE,TIME,BLD A (KW),BLD A (KVA),BLD A (KVAR),BLD A (Apparent PF),Plant Chillers (KW),Plant Chillers (Avg Current),Plant Chillers (kWh),Plant Chillers (Apparent PF),Plant Chillers (Displacement PF),BLD A FITNESS ZONE (KW),BLD A FITNESS (AVG CURRENT),BLD A FITNESS (kWh),BLD A FITNESS (Apparent PF),BLD A FITNESS (Displacement PF),BLD B (KW),BLD B (kVa),BLD B (kVAR),BLD B (PF),BLD D (KW),BLD D (kVA),BLD D (kVAR),BLD D (PF),BLD E (KW),BLD E (kVA),BLD E (KVAR),BLD E (PF),BLD G (KW),BLD G (kVA),BLD G (kVAR),BLD G (PF),BLD H (KW),BLD H Average Current,BLD H (kWh),BLD H (Apparent PF),BLD H (DISPLACEMENT PF),BLD J (KW),BLD J Average Current,BLD J (kWh),BLD J (Apparent PF),BLD J (Displacement PF),BLD K (KW),BLD K Average Current,BLD K (kWh),BLD K (Apparent PF),BLD K (Displacement PF),BLD M (KW),BLD M (Average Current),BLD M (kWh),BLD M (Apparent PF),BLD M (Displacement PF),BLD N (KW),BLD N Average Current,BLD N (kWh),BLD N (Apparent PF),BLD N (Displacement PF),BLD P (KW),BLD P Average Current,BLD P (kWh),BLD P (Apparent PF),BLD P (Displacement PF),RES PH 1 & 2 (KW),RES PH 1 & 2 Avg Current,RES PH 1 & 2 (kWh),RES PH 1 & 2 (Apparent PF),RES PH 1 & 2 (Displacement PF),RES PH 3 (KW),RES PH 3 Avg Current,RES PH 3 (kWh),RES PH 3 (Apparent PF),RES PH 3 (Displacement PF),BLD S (KW),BLD S Avg Current,BLD S (kWh),BLD S (Apparent PF),BLD S (Displacement PF),BLD T (KW),BLD T Avg Current,BLD T (kWh),BLD T (Apparent PF),BLD T (Displacement PF),BLD V (KW),BLD V Avg Current,BLD V (kWh),BLD V (Apparent PF),BLD V (Displacement PF),BLD Z (KW),BLD Z Avg Current,BLD Z (kWh),BLD Z (Apparent PF),BLD Z (Displacement PF),COGEN 1 (kW),COGEN 1 (kVAR),COGEN 1 (kVA),COGEN2 (kW),COGEN2 (KVAR),COGEN2 (KVA),BLD C (kW),BLD C Avg Current,BLD C (kWh),BLD C (Apparent PF),BLD C (Displacement PF) 
2019-10-01,0:00:00,310.15,316.06,53.17,0.988,105.75,100.55,1322879.5,0.99,1,4.02,4.83,578705.75,0.77,0.8,128.79,141.78,60.55,0.91,57.55,58.88,22.02,0.91,0,No Data,No Data,No Data,9.94,10.72,5.12,0.89,101.5,109.87,3664718,0.87,0.88,44,47.48,1549921,0.92,0.96,38.03,106.66,435498.88,0.35,0.37,82.15,117.93,471191.38,0.66,0.7,69.63,72.64,1866226,0.88,0.88,41,45.92,2867334.5,0.9,0.9,196,208.69,4506812.5,0.88,0.88,168.88,170.64,1757329,0.92,0.92,29.94,36.84,559931.5,0.77,0.78,147,170.99,4810143,0.84,0.86,26.25,33.09,680404.19,0.76,0.77,5.75,5.87,505942.13,0.58,0.61,0,0,0,0,0,0,140.37,369.1,4659131,0.99,1
2019-10-01,1:00:00,302.77,320.49,45.78,0.988,105.75,92.65,1322985.25,0.99,1,4.56,5.31,578711.75,0.81,0.83,124.65,146.22,67.94,0.88,55.86,61.44,25.09,0.91,0,No Data,No Data,No Data,11.7,13.92,6.4,0.89,101.5,103.83,3664819.5,0.88,0.88,44,40.01,1549965,0.9,0.95,38.03,102.78,435536.91,0.33,0.35,82.15,113.71,471273.53,0.67,0.7,69.63,73.03,1866295.63,0.88,0.89,41,44.73,2867375.5,0.91,0.91,196,210.65,4507008.5,0.87,0.87,168.88,167.42,1757497.88,0.92,0.92,29.94,35.65,559961.44,0.78,0.78,147,154.36,4810290,0.8,0.84,26.25,33.72,680430.44,0.78,0.79,5.75,6.37,505947.88,0.7,0.72,0,0,0,0,0,0,146.34,388.32,4659275,0.99,1
2019-10-01,2:00:00,321.38,319.02,50.22,0.988,105.63,106.09,1323090.88,0.98,0.99,6.82,7.45,578717.13,0.86,0.91,118.01,140.31,69.42,0.87,56.47,62.98,23.55,0.91,0,No Data,No Data,No Data,11.65,10.4,5.44,0.89,98.75,102.21,3664918.25,0.9,0.9,37,41.93,1550002,0.89,0.94,36.25,102.84,435573.16,0.33,0.35,75.47,102.54,471349,0.67,0.7,67.37,71.11,1866363,0.88,0.89,40,42.3,2867415.5,0.89,0.89,183.5,201.62,4507192,0.86,0.86,161.25,163.69,1757659.13,0.9,0.9,29.75,35.98,559991.19,0.78,0.78,141.5,147.01,4810431.5,0.86,0.91,24.37,29.57,680454.81,0.71,0.72,7.43,10.53,505955.31,0.73,0.74,0,0,0,0,0,0,144.49,381.66,4659414.5,0.99,1
2019-10-01,3:00:00,324.92,313.11,50.22,0.986,105.12,91.38,1323196,0.99,1,8.05,8.36,578723.81,0.9,0.95,118.89,137.35,67.94,0.87,58.98,72.7,31.23,0.912,0,No Data,No Data,No Data,11.28,11.84,5.44,0.88,102,107.37,3665020.25,0.89,0.9,39.63,39.21,1550041.63,0.9,0.93,36.47,102.68,435609.63,0.33,0.35,73.41,105.08,471422.41,0.67,0.7,68.25,69.1,1866431.25,0.87,0.88,41,40.38,2867456.5,0.88,0.88,174.5,186.04,4507366.5,0.85,0.85,155,154.8,1757814.13,0.9,0.91,36.94,44.99,560028.13,0.89,0.89,142,170.12,4810573.5,0.85,0.87,27.19,34.43,680482,0.76,0.77,7.69,7.46,505963,0.74,0.77,0,0,0,0,0,0,126.84,335.05,4659550.5,0.99,1
2019-10-01,4:00:00,330.24,332.31,54.65,0.986,105.75,92.11,1323301.75,0.99,1,5.51,5.75,578732.69,0.9,0.92,116.97,134.4,67.94,0.86,52.17,51.71,17.41,0.912,0,No Data,No Data,No Data,10.67,10.08,5.44,0.88,101,110.96,3665121.25,0.91,0.91,37.12,37.34,1550078.75,0.89,0.93,36.59,102.84,435646.22,0.33,0.35,77.81,103.37,471500.22,0.67,0.7,63.25,64.14,1866494.5,0.87,0.87,41.25,40.46,2867497.75,0.87,0.88,169.5,185.41,4507536,0.85,0.85,153,165.65,1757967.13,0.92,0.92,40,43.15,560068.13,0.89,0.89,140.5,153.36,4810714,0.88,0.93,26,30.58,680508,0.73,0.74,9.09,8.51,505972.09,0.75,0.78,0,0,0,0,0,0,135.63,359.92,4659686.5,0.99,1
2019-10-01,5:00:00,322.86,310.15,50.22,0.986,104.88,106.47,1323406.63,0.98,0.99,7.02,7.62,578738.88,0.86,0.91,117.27,138.83,70.89,0.86,51.87,56.83,23.55,0.912,0,No Data,No Data,No Data,11.31,16,5.44,0.95,96.75,93.62,3665218,0.88,0.89,38.25,40.13,1550117,0.9,0.94,36.44,103.21,435682.66,0.33,0.35,71.53,101.7,471571.75,0.66,0.69,61.63,64.76,1866556.13,0.86,0.86,40.25,43.43,2867538,0.91,0.91,166.5,183.93,4507702.5,0.85,0.85,151.12,161.33,1758118.25,0.89,0.89,40.62,41.73,560108.75,0.87,0.87,142,169.94,4810856,0.84,0.86,26.5,33.1,680534.5,0.76,0.77,9.13,7.9,505981.22,0.7,0.72,0,0,0,0,0,0,138.25,365.47,4659823,0.99,1
2019-10-01,6:00:00,328.91,335.26,56.12,0.984,105.25,93.24,1323511.88,0.99,1,25.15,30.39,578751.69,0.78,0.78,121.4,143.26,70.89,0.87,55.91,59.9,23.04,0.912,0,No Data,No Data,No Data,12.14,11.04,5.44,0.87,95.5,110.96,3665313.5,0.87,0.87,39.88,42.07,1550156.88,0.9,0.94,37.93,102.61,435720.59,0.33,0.34,73.25,110.08,471645,0.65,0.68,65.75,80.77,1866621.88,0.88,0.88,49.25,69.82,2867587.25,0.93,0.93,166,183.78,4507868.5,0.85,0.85,150.63,162.19,1758268.88,0.91,0.91,38.56,36.04,560147.31,0.8,0.8,142.5,140.03,4810998.5,0.85,0.91,25.44,33.99,680559.94,0.78,0.79,9.03,7.51,505990.25,0.59,0.62,0,0,0,0,0,0,171.02,453.02,4659979,0.99,1
2019-10-01,7:00:00,357.12,354.46,53.17,0.99,105.75,106.57,1323617.63,0.99,0.99,22.8,27.91,578775.88,0.77,0.77,148.14,158.03,72.37,0.89,81.2,104.45,27.14,0.952,0,No Data,No Data,No Data,12.96,16.8,5.6,0.95,113.75,161.23,3665427.25,0.91,0.91,42.5,46.12,1550199.38,0.93,0.97,37.38,103.13,435757.97,0.34,0.35,77.03,112.61,471722.03,0.68,0.71,76.37,76.82,1866698.25,0.89,0.9,88.25,91.05,2867675.5,0.93,0.93,167.5,188.58,4508036,0.85,0.85,151.75,192.59,1758420.63,0.93,0.93,37.25,67.21,560184.56,0.81,0.81,180.5,208.65,4811179,0.86,0.89,29.31,40.37,680589.25,0.86,0.87,7.97,10.68,505998.22,0.59,0.6,0,0,0,0,0,0,174.83,465.13,4660155,0.99,1
2019-10-01,8:00:00,374.4,385.48,53.17,0.99,105.5,108.7,1323723.13,0.99,0.99,42.77,44.33,578802.63,0.91,0.92,185.5,208.25,90.09,0.9,96.36,106.5,31.23,0.952,0,No Data,No Data,No Data,12.45,11.68,5.6,0.9,181.25,178.09,3665608.5,0.93,0.93,56,66.24,1550255.38,0.96,0.98,41.69,109.53,435799.66,0.37,0.39,82.97,118.93,471805,0.67,0.72,77.63,83.76,1866775.88,0.91,0.91,102.25,119.37,2867777.75,0.94,0.94,177.5,189.03,4508213.5,0.85,0.85,177.62,170.76,1758598.25,0.9,0.9,44.75,77.51,560229.31,0.85,0.85,205.5,238.05,4811384.5,0.93,0.97,40.06,45.73,680629.31,0.89,0.89,7.47,10.66,506005.69,0.75,0.78,0,0,0,0,0,0,214.99,572.02,4660352,0.99,1
2019-10-01,9:00:00,435.69,441.6,81.23,0.982,106.25,107.35,1323829.38,0.99,0.99,22.51,27.56,578831.19,0.77,0.78,222.28,248.12,85.66,0.94,110.44,123.9,33.28,0.952,0,No Data,No Data,No Data,12.16,13.28,6.08,0.88,182.25,180.56,3665790.75,0.94,0.94,74.87,69.23,1550330.25,0.96,0.98,40.31,107.43,435839.97,0.36,0.38,84.06,114.5,471889.06,0.7,0.73,86.87,86.9,1866862.75,0.92,0.92,121.25,121.14,2867899,0.94,0.94,172,188.75,4508385.5,0.86,0.86,175.88,185.05,1758774.13,0.92,0.92,48.19,48.46,560277.5,0.86,0.86,262.5,266.22,4811647,0.94,0.97,30,31.25,680659.31,0.78,0.78,7.03,11.63,506012.72,0.6,0.61,0,0,0,0,0,0,237.82,636.95,4660581.5,0.99,1
2019-10-01,10:00:00,455.19,491.82,87.14,0.986,107.87,96.89,1323937.25,0.99,1,30.96,37.5,578856.5,0.78,0.78,243.25,265.85,87.14,0.95,102.66,104.96,32.26,0.952,0,No Data,No Data,No Data,14,16.32,6.08,0.91,199.75,213.93,3665990.5,0.95,0.95,75.25,72.18,1550405.5,0.96,0.98,42.19,108.57,435882.16,0.36,0.38,90.19,114.89,471979.25,0.71,0.73,90.13,90.44,1866952.88,0.92,0.92,137.25,182.69,2868036.25,0.88,0.88,177,220,4508562.5,0.85,0.86,193.62,186.99,1758967.75,0.92,0.92,48.44,52.2,560325.94,0.88,0.88,277,287.66,4811924,0.92,0.95,33.94,37.2,680693.25,0.83,0.83,6.97,8.79,506019.69,0.63,0.65,0,0,0,0,0,0,260.57,693.69,4660831,0.99,1
2019-10-01,11:00:00,466.56,466.71,87.14,0.982,106.75,110.86,1324044,0.99,0.99,31.98,38.03,578890,0.79,0.79,252.7,273.23,88.62,0.95,119.65,125.44,39.42,0.952,0,No Data,No Data,No Data,14.82,14.24,6.4,0.88,206,203.09,3666196.5,0.94,0.94,76.25,74.95,1550481.75,0.96,0.98,42.62,105.56,435924.78,0.35,0.36,88.25,131.72,472067.5,0.69,0.74,92.87,93.36,1867045.75,0.91,0.92,150.5,164.7,2868186.75,0.89,0.89,187,256.42,4508749.5,0.83,0.83,181.13,220.1,1759148.88,0.91,0.91,60.44,115.06,560386.38,0.88,0.88,284.5,286.55,4812208.5,0.92,0.94,31,35.12,680724.25,0.8,0.81,6.97,12.63,506026.66,0.64,0.65,0,0,0,0,0,0,272.44,721.56,4661096.5,0.99,1
