DATE,TIME,BLD A (KW),BLD A (KVA),BLD A (KVAR),BLD A (Apparent PF),Plant Chillers (KW),Plant Chillers (Avg Current),Plant Chillers (kWh),Plant Chillers (Apparent PF),Plant Chillers (Displacement PF),BLD A FITNESS ZONE (KW),BLD A FITNESS (AVG CURRENT),BLD A FITNESS (kWh),BLD A FITNESS (Apparent PF),BLD A FITNESS (Displacement PF),BLD B (KW),BLD B (kVa),BLD B (kVAR),BLD B (PF),BLD D (KW),BLD D (kVA),BLD D (kVAR),BLD D (PF),BLD E (KW),BLD E (kVA),BLD E (KVAR),BLD E (PF),BLD G (KW),BLD G (kVA),BLD G (kVAR),BLD G (PF),BLD H (KW),BLD H Average Current,BLD H (kWh),BLD H (Apparent PF),BLD H (DISPLACEMENT PF),BLD J (KW),BLD J Average Current,BLD J (kWh),BLD J (Apparent PF),BLD J (Displacement PF),BLD K (KW),BLD K Average Current,BLD K (kWh),BLD K (Apparent PF),BLD K (Displacement PF),BLD M (KW),BLD M (Average Current),BLD M (kWh),BLD M (Apparent PF),BLD M (Displacement PF),BLD N (KW),BLD N Average Current,BLD N (kWh),BLD N (Apparent PF),BLD N (Displacement PF),BLD P (KW),BLD P Average Current,BLD P (kWh),BLD P (Apparent PF),BLD P (Displacement PF),RES PH 1 & 2 (KW),RES PH 1 & 2 Avg Current,RES PH 1 & 2 (kWh),RES PH 1 & 2 (Apparent PF),RES PH 1 & 2 (Displacement PF),RES PH 3 (KW),RES PH 3 Avg Current,RES PH 3 (kWh),RES PH 3 (Apparent PF),RES PH 3 (Displacement PF),BLD S (KW),BLD S Avg Current,BLD S (kWh),BLD S (Apparent PF),BLD S (Displacement PF),BLD T (KW),BLD T Avg Current,BLD T (kWh),BLD T (Apparent PF),BLD T (Displacement PF),BLD V (KW),BLD V Avg Current,BLD V (kWh),BLD V (Apparent PF),BLD V (Displacement PF),BLD Z (KW),BLD Z Avg Current,BLD Z (kWh),BLD Z (Apparent PF),BLD Z (Displacement PF),COGEN 1 (kW),COGEN 1 (kVAR),COGEN 1 (kVA),COGEN2 (kW),COGEN2 (KVAR),COGEN2 (KVA),BLD C (kW),BLD C Avg Current,BLD C (kWh),BLD C (Apparent PF),BLD C (Displacement PF) 
2019-09-01,0:00:00,378.98,438.65,110.77,0.968,167.96,157.96,1184505.25,1,1,2.41,3.83,559290.44,0.59,0.63,107.37,127.02,69.42,0.84,56.42,63.49,27.14,0.9,130,138,47,-94.14,16.72,19.52,9.76,0.85,96.55,114.85,3560088.5,0.79,0.79,18.44,20.92,1514919.25,0.82,0.84,36.33,102.87,407938.47,0.33,0.34,65.7,90.39,409080.91,0.69,0.72,76.51,78.76,1805253.63,0.89,0.9,33.61,37.06,2787517.75,0.85,0.85,237.83,284.9,4341663.5,0.79,0.79,208.76,220.18,1607821,0.9,0.9,33.44,35.93,527594.56,0.87,0.88,205.55,261.81,4630531.5,0.74,0.76,31.12,38.84,655685.31,0.75,0.76,3.2,5.59,496032.44,0.54,0.56,0,0,0,0,0,0,134.16,356.09,4527090,0.99,1
2019-09-01,1:00:00,392.27,394.34,100.43,0.968,177.61,166.26,1184673.25,0.99,0.99,2.68,4.34,559293.94,0.57,0.62,108.85,125.54,63.51,0.86,56.99,65.54,28.67,0.9,78,83,30,-92.93,11.63,12.16,5.12,0.91,96.91,113.99,3560188.75,0.79,0.8,26,30.88,1514939.75,0.78,0.79,37.07,103.37,407974.91,0.33,0.35,72.29,100.04,409150.44,0.68,0.7,78.95,79.98,1805332.75,0.9,0.9,35.18,38.67,2787552.75,0.84,0.85,223.35,271.22,4341890.5,0.77,0.77,182.96,190.35,1608019.25,0.9,0.9,33.18,36.19,527628.38,0.85,0.86,162.25,184.06,4630698,0.82,0.84,31.41,39.24,655714.69,0.74,0.75,3.71,6.42,496036.47,0.54,0.56,0,0,0,0,0,0,126.82,334.24,4527213,0.99,1
2019-09-01,2:00:00,372.33,395.82,91.57,0.972,156.19,145.86,1184840.75,1,1,4.69,5.73,559297.75,0.76,0.84,108.55,125.54,64.98,0.86,56.47,54.78,15.87,0.94,83,91,40,-90.21,10.72,12.16,5.12,0.9,85.59,100.27,3560281.5,0.8,0.8,21.25,24.27,1514960.5,0.81,0.83,36.91,103.04,408011.75,0.33,0.35,67.29,90.97,409218.03,0.69,0.72,82.32,83.35,1805413,0.9,0.91,33.47,37,2787586.75,0.84,0.84,205.77,252.33,4342114.5,0.77,0.77,178.47,184.75,1608210.75,0.91,0.91,34.36,36.56,527662.31,0.87,0.88,157.86,179.5,4630846.5,0.82,0.84,26.19,34.01,655745.06,0.72,0.72,3.13,5.53,496040.28,0.52,0.55,0,0,0,0,0,0,123.05,324.96,4527330,0.99,1
2019-09-01,3:00:00,380.46,384,90.09,0.974,171.15,160.51,1185005.5,0.99,0.99,5.58,6.6,559301.13,0.79,0.86,103.24,124.06,64.98,0.85,51.87,53.25,21.5,0.898,78,83,31,-92.93,11.31,12.96,5.92,0.89,89.24,102.38,3560375.5,0.81,0.82,20.01,22.92,1514981.38,0.81,0.83,37.24,103.52,408048.59,0.34,0.35,72.52,99.13,409287.16,0.68,0.71,67.27,71.34,1805486.5,0.86,0.86,33.67,37.5,2787621.75,0.83,0.84,200.32,248.3,4342325.5,0.76,0.76,182.06,191.6,1608393.63,0.89,0.89,23.34,29.75,527687.81,0.73,0.74,162.1,185.12,4630996,0.81,0.83,28.63,35.81,655774.19,0.74,0.76,3.15,5.59,496044.13,0.52,0.54,0,0,0,0,0,0,120.63,318.95,4527445,0.99,1
2019-09-01,4:00:00,369.08,384,87.14,0.972,165.46,154.17,1185171.75,0.99,1,4.98,6.18,559305.56,0.74,0.82,106.78,129.97,67.94,0.85,49.82,57.86,22.53,0.898,83,92,40,-90.11,11.68,13.12,5.92,0.89,94.26,110.15,3560469.75,0.8,0.8,20.86,23.75,1515001.88,0.81,0.83,37,102.78,408085.69,0.34,0.35,68.8,92.89,409357.5,0.69,0.72,64.61,68.88,1805552,0.85,0.85,35.18,38.79,2787656,0.84,0.85,218.02,271.91,4342530,0.75,0.75,161.66,167.15,1608571.13,0.9,0.9,22.4,29.19,527711.56,0.71,0.72,130.39,161.01,4631144.5,0.75,0.78,25.24,32.96,655803.56,0.71,0.71,3.81,7.03,496048.78,0.5,0.52,0,0,0,0,0,0,117.17,309.55,4527565.5,0.99,0.99
2019-09-01,5:00:00,370.86,388.43,90.09,0.972,165.08,154.32,1185337.38,0.99,1,5.62,6.66,559308.94,0.79,0.86,106.19,124.06,64.98,0.85,51.97,54.78,22.53,0.898,81,90,40,-89.79,12.16,13.6,5.92,0.88,93.52,109.51,3560564,0.8,0.8,21.84,24.73,1515022.25,0.82,0.83,36.73,103.11,408122.84,0.33,0.35,70.83,96.1,409426.22,0.69,0.73,64.1,68.43,1805617.75,0.85,0.86,31.77,35.8,2787690.75,0.82,0.83,166.9,188.06,4342731,0.83,0.83,166.24,172.52,1608745.5,0.9,0.9,23.78,29.58,527734.94,0.75,0.76,139.29,153.18,4631292,0.84,0.91,32.43,40.34,655832.94,0.75,0.76,4.94,7.8,496053.69,0.59,0.62,0,0,0,0,0,0,112.11,297.15,4527681,0.99,1
2019-09-01,6:00:00,373.96,369.23,85.66,0.972,157.22,146.69,1185505.63,1,1,21.27,31.06,559321.31,0.64,0.64,103.68,127.02,67.94,0.85,54.27,59.9,25.6,0.898,87,95,40,-90.55,11.84,13.28,5.92,0.88,107.27,122.74,3560657.75,0.82,0.82,19.34,21.97,1515043.13,0.82,0.83,36.87,103.13,408159.34,0.33,0.35,69.08,94.74,409496.47,0.68,0.72,88.65,89.69,1805700.38,0.9,0.91,49.07,54.23,2787732.75,0.84,0.85,197.84,246.17,4342930,0.76,0.76,164.33,170.94,1608920,0.9,0.9,23.16,29.78,527758.88,0.72,0.73,142.75,155.92,4631439.5,0.85,0.92,32.81,40.68,655862.56,0.75,0.77,3.81,6.94,496058.75,0.51,0.53,0,0,0,0,0,0,134.75,358.29,4527815,0.98,1
2019-09-01,7:00:00,400.69,398.77,76.8,0.98,173.12,163.99,1185673.63,0.99,0.99,24.21,32.58,559343.81,0.7,0.7,114.17,137.35,67.94,0.87,53.66,60.42,24.06,0.938,104,110,39,-93.54,11.36,12.64,5.92,0.89,89.36,108.4,3560755,0.78,0.78,19.26,22.48,1515063,0.8,0.82,36.41,102.74,408196.25,0.33,0.35,66.32,91.7,409564.16,0.68,0.72,79.74,82.06,1805784.88,0.89,0.9,72.02,78.51,2787802,0.86,0.87,190.02,238.64,4343125.5,0.76,0.76,188.06,203.21,1609090.63,0.88,0.88,21.99,29.66,527782.5,0.69,0.7,170.94,195.89,4631606,0.82,0.84,30.8,37.81,655891.69,0.76,0.79,3.7,6.71,496063.44,0.52,0.54,0,0,0,0,0,0,131.85,354.36,4527951,0.98,0.99
2019-09-01,8:00:00,405.42,398.77,84.18,0.976,167.24,156.6,1185841,1,1,24.05,33.05,559364.88,0.68,0.69,138.39,158.03,75.32,0.88,59.14,69.12,24.58,0.938,137,145,51,-93.56,11.84,13.6,7.2,0.87,90.58,106.45,3560850.75,0.8,0.8,20.75,23.7,1515082.75,0.82,0.83,36.36,102.76,408232.28,0.33,0.34,72.3,98.48,409637.44,0.69,0.71,88.11,89.35,1805868.63,0.9,0.91,76.02,84.02,2787884,0.84,0.85,195.02,245.06,4343324,0.75,0.75,207.48,213.91,1609275.75,0.91,0.91,22.33,29.63,527804.94,0.7,0.7,249.81,312,4631835.5,0.75,0.76,29,37.81,655919.69,0.72,0.73,3.3,6.87,496067.88,0.45,0.46,0,0,0,0,0,0,134.27,358.52,4528084,0.98,0.99
2019-09-01,9:00:00,414.42,434.22,84.18,0.98,173.78,163.52,1186012.88,1,1,25.21,33.27,559385,0.71,0.72,144.59,169.85,84.18,0.87,64.61,68.1,24.06,0.938,168,176,55,-95.1,11.36,12.96,6.08,0.87,105.12,121.63,3560948.75,0.82,0.82,19.55,22.14,1515103.25,0.83,0.85,35.52,102.08,408268.47,0.33,0.34,69.47,94.38,409708.75,0.7,0.72,84.71,86.6,1805952.88,0.9,0.91,113.76,134.72,2787979,0.79,0.8,206.75,252.3,4343529.5,0.78,0.78,207.66,218.77,1609484.25,0.9,0.9,23.6,30.07,527827.25,0.74,0.74,256.1,316.06,4632062,0.76,0.77,24.63,34.78,655948.31,0.66,0.67,6.28,8.95,496072.03,0.66,0.72,0,0,0,0,0,0,153.62,410.67,4528222.5,0.99,1
